4rd Down Def Rank,Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
118,SMU (AAC),12,7-5,22,34,0.647
121,Louisiana Tech (C-USA),12,3-9,18,27,0.667
121,Nebraska (Big Ten),12,4-8,10,15,0.667
121,Rutgers (Big Ten),12,4-8,16,24,0.667
124,Kansas (Big 12),12,6-6,19,28,0.679
125,Akron (MAC),12,2-10,17,25,0.68
126,Colorado St. (Mountain West),12,3-9,13,19,0.684
127,UCLA (Pac-12),12,9-3,18,26,0.692
128,New Mexico (Mountain West),12,2-10,16,23,0.696
129,Northwestern (Big Ten),12,1-11,12,17,0.706
130,UTEP (C-USA),12,5-7,10,14,0.714
131,Stanford (Pac-12),12,3-9,17,23,0.739
