Rushing Def Rank,Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
96,Oklahoma St. (Big 12),12,7-5,447,2056,4.6,21,171.3
97,Auburn (SEC),12,5-7,447,2072,4.64,28,172.7
98,BYU (FBS Independent),12,7-5,446,2088,4.68,21,174.0
99,Buffalo (MAC),12,6-6,418,2096,5.01,23,174.7
100,Indiana (Big Ten),12,4-8,507,2101,4.14,19,175.1
101,Florida (SEC),12,6-6,468,2114,4.52,26,176.2
102,Michigan St. (Big Ten),12,5-7,500,2143,4.29,14,178.6
103,Fla. Atlantic (C-USA),12,5-7,440,2148,4.88,15,179.0
104,Arkansas (SEC),12,6-6,453,2157,4.76,24,179.8
105,Ball St. (MAC),12,5-7,531,2186,4.12,23,182.2
106,Arizona St. (Pac-12),12,3-9,435,2257,5.19,31,188.1
107,North Texas (C-USA),13,7-6,522,2449,4.69,23,188.4
108,Georgia Tech (ACC),12,5-7,500,2263,4.53,20,188.6
109,Oklahoma (Big 12),12,6-6,510,2268,4.45,27,189.0
110,Nebraska (Big Ten),12,4-8,499,2269,4.55,22,189.1
111,Northwestern (Big Ten),12,1-11,497,2296,4.62,24,191.3
112,FIU (C-USA),12,4-8,493,2301,4.67,31,191.8
113,South Carolina (SEC),12,8-4,476,2309,4.85,20,192.4
114,Temple (AAC),12,3-9,506,2311,4.57,21,192.6
115,Kansas (Big 12),12,6-6,512,2324,4.54,32,193.7
116,Massachusetts (FBS Independent),12,1-11,466,2332,5.0,29,194.3
117,ULM (Sun Belt),12,4-8,483,2341,4.85,29,195.1
118,Utah St. (Mountain West),12,6-6,483,2378,4.92,17,198.2
119,Old Dominion (Sun Belt),12,3-9,569,2380,4.18,19,198.3
120,Army West Point (FBS Independent),12,6-6,473,2388,5.05,19,199.0
121,SMU (AAC),12,7-5,493,2438,4.95,28,203.2
122,Charlotte (C-USA),12,3-9,477,2463,5.16,29,205.2
123,Tulsa (AAC),12,5-7,508,2495,4.91,20,207.9
124,Texas A&M (SEC),12,5-7,520,2506,4.82,13,208.8
125,Arizona (Pac-12),12,5-7,449,2509,5.59,33,209.1
126,Hawaii (Mountain West),13,3-10,495,2773,5.6,28,213.3
127,Stanford (Pac-12),12,3-9,443,2693,6.08,25,224.4
128,South Fla. (AAC),12,1-11,460,2815,6.12,37,234.6
129,Ga. Southern (Sun Belt),12,6-6,499,2880,5.77,28,240.0
130,Louisiana Tech (C-USA),12,3-9,477,2918,6.12,34,243.2
131,Colorado (Pac-12),12,1-11,485,2941,6.06,39,245.1
