Kickoff Return Rank,Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
94,Michigan St. (Big Ten),12,5-7,23,424,0,18.43
95,Utah (Pac-12),13,10-3,7,129,0,18.43
96,Utah St. (Mountain West),12,6-6,26,479,1,18.42
97,James Madison (Sun Belt),11,8-3,20,368,0,18.40
98,Kansas (Big 12),12,6-6,22,403,0,18.32
99,California (Pac-12),12,4-8,19,342,0,18.00
99,Troy (Sun Belt),13,11-2,17,306,0,18.00
101,Alabama (SEC),12,10-2,19,341,0,17.95
102,West Virginia (Big 12),12,5-7,25,444,0,17.76
103,Arizona (Pac-12),12,5-7,20,354,0,17.70
104,Rice (C-USA),12,5-7,22,389,0,17.68
105,ULM (Sun Belt),12,4-8,29,511,0,17.62
106,New Mexico St. (FBS Independent),12,6-6,13,229,0,17.62
107,Army West Point (FBS Independent),12,6-6,12,211,0,17.58
108,Arkansas (SEC),12,6-6,7,123,0,17.57
109,Oregon (Pac-12),12,9-3,23,402,0,17.48
110,Texas St. (Sun Belt),12,4-8,25,434,0,17.36
111,Ga. Southern (Sun Belt),12,6-6,25,433,0,17.32
112,Auburn (SEC),12,5-7,23,396,0,17.22
113,Baylor (Big 12),12,6-6,29,497,0,17.14
114,UTEP (C-USA),12,5-7,20,342,0,17.10
115,Nebraska (Big Ten),12,4-8,26,444,0,17.08
116,San Jose St. (Mountain West),11,7-4,21,358,0,17.05
117,Purdue (Big Ten),13,8-5,26,443,0,17.04
118,Colorado St. (Mountain West),12,3-9,19,319,0,16.79
119,Northwestern (Big Ten),12,1-11,11,184,0,16.73
120,NIU (MAC),12,3-9,26,434,0,16.69
121,Pittsburgh (ACC),12,8-4,27,450,0,16.67
122,Miami (OH) (MAC),12,6-6,18,299,0,16.61
123,Iowa St. (Big 12),12,4-8,21,348,0,16.57
124,Temple (AAC),12,3-9,41,673,0,16.41
125,Toledo (MAC),13,8-5,21,341,0,16.24
126,Fla. Atlantic (C-USA),12,5-7,14,224,0,16.00
126,Hawaii (Mountain West),13,3-10,41,656,0,16.00
128,Tulsa (AAC),12,5-7,19,303,0,15.95
129,Missouri (SEC),12,6-6,12,177,0,14.75
130,Air Force (Mountain West),12,9-3,4,54,0,13.50
131,Georgia St. (Sun Belt),12,4-8,11,103,0,9.36


