Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Kent St. (MAC),4,3-1,326,2426,7.44,27,606.5
UCF (AAC),10,6-4,859,5681,6.61,55,568.1
Ole Miss (SEC),10,5-5,797,5555,6.97,53,555.5
Alabama (SEC),13,13-0,902,7041,7.81,79,541.6
North Carolina (ACC),12,8-4,849,6447,7.59,66,537.2
BYU (FBS Independent),12,11-1,799,6266,7.84,68,522.2
Ohio St. (Big Ten),8,7-1,570,4155,7.29,41,519.4
North Texas (C-USA),10,4-6,779,5132,6.59,46,513.2
Florida (SEC),12,8-4,840,6118,7.28,58,509.8
Clemson (ACC),12,10-2,901,6028,6.69,64,502.3
Oklahoma (Big 12),11,9-2,781,5442,6.97,57,494.7
SMU (AAC),10,7-3,753,4945,6.57,47,494.5
Toledo (MAC),6,4-2,462,2964,6.42,26,494.0
Arkansas St. (Sun Belt),11,4-7,849,5387,6.35,46,489.7
Liberty (FBS Independent),11,10-1,791,5310,6.71,52,482.7
Western Mich. (MAC),6,4-2,392,2878,7.34,32,479.7
Fresno St. (Mountain West),6,3-3,464,2876,6.2,26,479.3
Buffalo (MAC),7,6-1,457,3349,7.33,39,478.4
Texas (Big 12),10,7-3,715,4754,6.65,52,475.4
Arizona St. (Pac-12),4,2-2,252,1834,7.28,21,458.5
UCLA (Pac-12),7,3-4,519,3185,6.14,31,455.0
Memphis (AAC),11,8-3,819,4984,6.09,40,453.1
App State (Sun Belt),12,9-3,845,5424,6.42,49,452.0
Cincinnati (AAC),10,9-1,676,4510,6.67,49,451.0
Coastal Carolina (Sun Belt),12,11-1,805,5398,6.71,59,449.8
Notre Dame (ACC),12,10-2,868,5382,6.2,48,448.5
Ball St. (MAC),8,7-1,617,3578,5.8,32,447.2
Wake Forest (ACC),9,4-5,690,4000,5.8,36,444.4
Louisville (ACC),11,4-7,735,4886,6.65,41,444.2
Nevada (Mountain West),9,7-2,615,3973,6.46,34,441.4
Virginia Tech (ACC),11,5-6,727,4848,6.67,40,440.7
Miami (FL) (ACC),11,8-3,803,4838,6.02,44,439.8
Texas A&M (SEC),10,9-1,678,4392,6.48,41,439.2
Iowa St. (Big 12),12,9-3,828,5236,6.32,51,436.3
LSU (SEC),10,5-5,786,4339,5.52,33,433.9
San Jose St. (Mountain West),8,7-1,524,3447,6.58,27,430.9
Penn St. (Big Ten),9,4-5,709,3873,5.46,32,430.3
Texas Tech (Big 12),10,4-6,735,4295,5.84,35,429.5
Oklahoma St. (Big 12),11,8-3,849,4695,5.53,35,426.8
Georgia St. (Sun Belt),10,6-4,750,4243,5.66,40,424.3
Georgia (SEC),10,8-2,683,4241,6.21,37,424.1
Virginia (ACC),10,5-5,745,4233,5.68,38,423.3
Louisiana (Sun Belt),11,10-1,739,4637,6.27,45,421.5
Central Mich. (MAC),6,3-3,433,2522,5.82,23,420.3
Stanford (Pac-12),6,4-2,420,2521,6.0,22,420.2
Southern California (Pac-12),6,5-1,449,2500,5.57,25,416.7
UTSA (C-USA),12,7-5,866,4984,5.76,40,415.3
Colorado (Pac-12),6,4-2,454,2483,5.47,21,413.8
Oregon (Pac-12),7,4-3,428,2890,6.75,28,412.9
West Virginia (Big 12),10,6-4,759,4126,5.44,31,412.6
TCU (Big 12),10,6-4,685,4110,6.0,34,411.0
Tulsa (AAC),9,6-3,662,3694,5.58,28,410.4
Utah (Pac-12),5,3-2,347,2049,5.9,15,409.8
Maryland (Big Ten),5,2-3,310,2045,6.6,14,409.0
Houston (AAC),8,3-5,590,3271,5.54,27,408.9
Oregon St. (Pac-12),7,2-5,491,2862,5.83,26,408.9
Washington (Pac-12),4,3-1,267,1611,6.03,15,402.8
East Carolina (AAC),9,3-6,655,3624,5.53,30,402.7
Missouri (SEC),10,5-5,714,4020,5.63,30,402.0
UAB (C-USA),9,6-3,610,3612,5.92,31,401.3
Eastern Mich. (MAC),6,2-4,418,2402,5.75,23,400.3
Florida St. (ACC),9,3-6,644,3570,5.54,29,396.7
Tulane (AAC),12,6-6,829,4725,5.7,53,393.8
New Mexico (Mountain West),7,2-5,504,2756,5.47,20,393.7
Troy (Sun Belt),11,5-6,784,4321,5.51,33,392.8
Arkansas (SEC),10,3-7,678,3915,5.77,31,391.5
Nebraska (Big Ten),8,3-5,563,3132,5.56,20,391.5
Marshall (C-USA),10,7-3,668,3913,5.86,37,391.3
Minnesota (Big Ten),7,3-4,482,2737,5.68,26,391.0
Purdue (Big Ten),6,2-4,411,2343,5.7,19,390.5
Georgia Tech (ACC),10,3-7,691,3899,5.64,32,389.9
Air Force (Mountain West),6,3-3,373,2336,6.26,19,389.3
Boston College (ACC),11,6-5,751,4245,5.65,34,385.9
NC State (ACC),12,8-4,834,4624,5.54,44,385.3
Washington St. (Pac-12),4,1-3,262,1536,5.86,14,384.0
Hawaii (Mountain West),9,5-4,640,3455,5.4,29,383.9
Auburn (SEC),11,6-5,754,4211,5.58,28,382.8
Michigan (Big Ten),6,2-4,385,2291,5.95,21,381.8
Pittsburgh (ACC),11,6-5,814,4176,5.13,34,379.6
Duke (ACC),11,2-9,829,4173,5.03,30,379.4
Charlotte (C-USA),6,2-4,416,2266,5.45,21,377.7
Wyoming (Mountain West),6,2-4,409,2237,5.47,17,372.8
Southern Miss. (C-USA),10,3-7,643,3720,5.79,30,372.0
Ga. Southern (Sun Belt),13,8-5,814,4826,5.93,38,371.2
Texas St. (Sun Belt),12,2-10,778,4436,5.7,41,369.7
Arizona (Pac-12),5,0-5,373,1847,4.95,10,369.4
Iowa (Big Ten),8,6-2,544,2949,5.42,27,368.6
NIU (MAC),6,0-6,442,2205,4.99,18,367.5
Middle Tenn. (C-USA),9,3-6,636,3293,5.18,25,365.9
Miami (OH) (MAC),3,2-1,185,1096,5.92,10,365.3
South Fla. (AAC),9,1-8,650,3288,5.06,23,365.3
Ohio (MAC),3,2-1,171,1088,6.36,12,362.7
Northwestern (Big Ten),9,7-2,678,3246,4.79,28,360.7
Indiana (Big Ten),8,6-2,570,2876,5.05,28,359.5
South Alabama (Sun Belt),11,4-7,770,3944,5.12,25,358.5
South Carolina (SEC),10,2-8,664,3551,5.35,29,355.1
San Diego St. (Mountain West),8,4-4,560,2806,5.01,20,350.8
Boise St. (Mountain West),7,5-2,451,2443,5.42,25,349.0
Illinois (Big Ten),8,2-6,521,2792,5.36,19,349.0
Temple (AAC),7,1-6,524,2438,4.65,16,348.3
UTEP (C-USA),8,3-5,539,2785,5.17,23,348.1
Tennessee (SEC),10,3-7,660,3462,5.25,26,346.2
Wisconsin (Big Ten),7,4-3,495,2419,4.89,23,345.6
Mississippi St. (SEC),11,4-7,761,3742,4.92,25,340.2
Rutgers (Big Ten),9,3-6,658,3052,4.64,27,339.1
Kansas St. (Big 12),10,4-6,601,3374,5.61,29,337.4
Rice (C-USA),5,2-3,349,1658,4.75,12,331.6
UNLV (Mountain West),6,0-6,420,1983,4.72,13,330.5
Michigan St. (Big Ten),7,2-5,481,2312,4.81,13,330.3
Vanderbilt (SEC),9,0-9,630,2970,4.71,17,330.0
Bowling Green (MAC),5,0-5,314,1632,5.2,6,326.4
Fla. Atlantic (C-USA),9,5-4,595,2921,4.91,20,324.6
Colorado St. (Mountain West),4,1-3,272,1294,4.76,10,323.5
California (Pac-12),4,1-3,286,1278,4.47,10,319.5
Kentucky (SEC),11,5-6,679,3498,5.15,26,318.0
Army West Point (FBS Independent),12,9-3,792,3813,4.81,40,317.8
Louisiana Tech (C-USA),10,5-5,703,3158,4.49,31,315.8
Baylor (Big 12),9,2-7,629,2792,4.44,22,310.2
ULM (Sun Belt),10,0-10,631,3057,4.84,23,305.7
Western Ky. (C-USA),12,5-7,758,3484,4.6,24,290.3
Akron (MAC),6,1-5,360,1687,4.69,12,281.2
FIU (C-USA),5,0-5,306,1404,4.59,13,280.8
Utah St. (Mountain West),6,1-5,362,1655,4.57,10,275.8
Navy (AAC),10,3-7,607,2750,4.53,21,275.0
Syracuse (ACC),11,1-10,656,2918,4.45,20,265.3
Kansas (Big 12),9,0-9,637,2333,3.66,16,259.2
Massachusetts (FBS Independent),4,0-4,217,750,3.46,1,187.5
