Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Air Force (Mountain West),6,3-3,312,1834,5.88,16,305.7
Buffalo (MAC),7,6-1,300,2012,6.71,32,287.4
Kent St. (MAC),4,3-1,200,1132,5.66,13,283.0
Army West Point (FBS Independent),12,9-3,716,3276,4.58,36,273.0
Ga. Southern (Sun Belt),13,8-5,638,3472,5.44,29,267.1
App State (Sun Belt),12,9-3,545,3179,5.83,28,264.9
Arizona St. (Pac-12),4,2-2,165,1057,6.41,16,264.2
Ohio St. (Big Ten),8,7-1,345,2055,5.96,19,256.9
Liberty (FBS Independent),11,10-1,484,2776,5.74,27,252.4
Virginia Tech (ACC),11,5-6,473,2641,5.58,27,240.1
North Carolina (ACC),12,8-4,492,2830,5.75,35,235.8
UCLA (Pac-12),7,3-4,319,1614,5.06,13,230.6
North Texas (C-USA),10,4-6,443,2302,5.2,18,230.2
Wyoming (Mountain West),6,2-4,275,1317,4.79,16,219.5
Coastal Carolina (Sun Belt),12,11-1,518,2620,5.06,30,218.3
Central Mich. (MAC),6,3-3,260,1308,5.03,16,218.0
Tulane (AAC),12,6-6,516,2605,5.05,32,217.1
Ohio (MAC),3,2-1,117,650,5.56,8,216.7
UTSA (C-USA),12,7-5,496,2585,5.21,24,215.4
TCU (Big 12),10,6-4,412,2147,5.21,23,214.7
Louisiana (Sun Belt),11,10-1,429,2343,5.46,25,213.0
Cincinnati (AAC),10,9-1,381,2124,5.57,29,212.4
Colorado (Pac-12),6,4-2,276,1274,4.62,15,212.3
Notre Dame (ACC),12,10-2,506,2533,5.01,33,211.1
UCF (AAC),10,6-4,444,2107,4.75,23,210.7
Ole Miss (SEC),10,5-5,462,2106,4.56,23,210.6
Texas A&M (SEC),10,9-1,376,2051,5.45,21,205.1
Nebraska (Big Ten),8,3-5,334,1611,4.82,15,201.4
Louisville (ACC),11,4-7,420,2200,5.24,21,200.0
UAB (C-USA),9,6-3,366,1800,4.92,17,200.0
Florida St. (ACC),9,3-6,352,1799,5.11,19,199.9
San Diego St. (Mountain West),8,4-4,357,1595,4.47,14,199.4
Oregon St. (Pac-12),7,2-5,258,1383,5.36,15,197.6
Kentucky (SEC),11,5-6,436,2162,4.96,19,196.5
Illinois (Big Ten),8,2-6,327,1569,4.8,9,196.1
New Mexico (Mountain West),7,2-5,289,1370,4.74,12,195.7
Texas (Big 12),10,7-3,370,1953,5.28,20,195.3
Iowa St. (Big 12),12,9-3,455,2340,5.14,31,195.0
Georgia St. (Sun Belt),10,6-4,443,1940,4.38,22,194.0
Utah (Pac-12),5,3-2,191,970,5.08,9,194.0
Western Mich. (MAC),6,4-2,235,1159,4.93,14,193.2
Minnesota (Big Ten),7,3-4,298,1343,4.51,19,191.9
Georgia Tech (ACC),10,3-7,408,1908,4.68,18,190.8
BYU (FBS Independent),12,11-1,423,2281,5.39,34,190.1
Oklahoma St. (Big 12),11,8-3,508,2060,4.06,17,187.3
Bowling Green (MAC),5,0-5,189,920,4.87,5,184.0
Alabama (SEC),13,13-0,477,2385,5.0,37,183.5
Fla. Atlantic (C-USA),9,5-4,363,1621,4.47,12,180.1
Oklahoma (Big 12),11,9-2,419,1977,4.72,27,179.7
Marshall (C-USA),10,7-3,387,1784,4.61,18,178.4
Ball St. (MAC),8,7-1,366,1424,3.89,15,178.0
Navy (AAC),10,3-7,483,1776,3.68,15,177.6
SMU (AAC),10,7-3,377,1765,4.68,24,176.5
Washington (Pac-12),4,3-1,156,705,4.52,11,176.2
Penn St. (Big Ten),9,4-5,402,1569,3.9,15,174.3
Georgia (SEC),10,8-2,377,1742,4.62,18,174.2
East Carolina (AAC),9,3-6,362,1564,4.32,11,173.8
Iowa (Big Ten),8,6-2,296,1368,4.62,18,171.0
