Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Oklahoma St. (Big 12),11,8-3,12,-18,0,-1.5
Houston (AAC),8,3-5,4,-5,0,-1.25
Kent St. (MAC),4,3-1,1,-1,0,-1.0
FIU (CUSA),5,0-5,7,-3,0,-0.43
Buffalo (MAC),7,6-1,2,0,0,0.0
Miami (OH) (MAC),3,2-1,3,0,0,0.0
Ohio (MAC),3,2-1,0,0,0,0.0
Duke (ACC),11,2-9,16,12,1,0.75
Eastern Mich. (MAC),6,2-4,4,3,0,0.75
Tennessee (SEC),10,3-7,8,8,0,1.0
Utah St. (Mountain West),6,1-5,9,13,0,1.44
Kansas St. (Big 12),10,4-6,9,18,0,2.0
App State (Sun Belt),12,9-3,18,39,0,2.17
Missouri (SEC),10,5-5,9,21,0,2.33
Michigan (Big Ten),6,2-4,5,12,0,2.4
Louisiana Tech (CUSA),10,5-5,18,46,0,2.56
Auburn (SEC),11,6-5,8,22,0,2.75
West Virginia (Big 12),10,6-4,12,33,0,2.75
Northwestern (Big Ten),9,7-2,11,32,0,2.91
Troy (Sun Belt),11,5-6,11,32,0,2.91
Minnesota (Big Ten),7,3-4,2,7,0,3.5
Notre Dame (ACC),12,10-2,12,44,0,3.67
Rutgers (Big Ten),9,3-6,9,33,0,3.67
Air Force (Mountain West),6,3-3,4,15,0,3.75
Toledo (MAC),6,4-2,6,23,0,3.83
Ball St. (MAC),8,7-1,12,47,0,3.92
Southern Miss. (CUSA),10,3-7,6,24,0,4.0
Virginia Tech (ACC),11,5-6,7,28,0,4.0
Texas A&M (SEC),10,9-1,4,17,0,4.25
Alabama (SEC),13,13-0,5,22,0,4.4
Central Mich. (MAC),6,3-3,10,46,0,4.6
Florida St. (ACC),9,3-6,14,67,0,4.79
Wisconsin (Big Ten),7,4-3,8,39,0,4.88
North Texas (CUSA),10,4-6,11,54,0,4.91
UNLV (Mountain West),6,0-6,15,74,0,4.93
Western Mich. (MAC),6,4-2,6,30,0,5.0
Middle Tenn. (CUSA),9,3-6,14,72,0,5.14
Georgia St. (Sun Belt),10,6-4,18,93,1,5.17
Iowa (Big Ten),8,6-2,6,31,0,5.17
Maryland (Big Ten),5,2-3,6,31,0,5.17
NIU (MAC),6,0-6,9,47,0,5.22
Rice (CUSA),5,2-3,7,37,0,5.29
Bowling Green (MAC),5,0-5,9,48,1,5.33
Stanford (Pac-12),6,4-2,7,38,0,5.43
Washington St. (Pac-12),4,1-3,7,38,0,5.43
Marshall (CUSA),10,7-3,10,56,0,5.6
Boston College (ACC),11,6-5,13,75,0,5.77
Mississippi St. (SEC),11,4-7,18,104,0,5.78
Wake Forest (ACC),9,4-5,9,52,0,5.78
Louisiana (Sun Belt),11,10-1,17,99,0,5.82
Memphis (AAC),11,8-3,9,53,0,5.89
Virginia (ACC),10,5-5,12,72,0,6.0
Army West Point (FBS Independent),12,9-3,16,97,0,6.06
Arkansas St. (Sun Belt),11,4-7,10,63,0,6.3
UAB (CUSA),9,6-3,12,77,0,6.42
TCU (Big 12),10,6-4,9,58,0,6.44
Cincinnati (AAC),10,9-1,13,84,0,6.46
Liberty (FBS Independent),11,10-1,6,39,0,6.5
Syracuse (ACC),11,1-10,26,170,0,6.54
Tulane (AAC),12,6-6,22,147,0,6.68
Oklahoma (Big 12),11,9-2,10,67,0,6.7
Arizona St. (Pac-12),4,2-2,4,28,0,7.0
East Carolina (AAC),9,3-6,10,70,0,7.0
North Carolina (ACC),12,8-4,12,84,0,7.0
Penn St. (Big Ten),9,4-5,10,71,0,7.1
Wyoming (Mountain West),6,2-4,9,64,0,7.11
Akron (MAC),6,1-5,20,144,0,7.2
Georgia (SEC),10,8-2,4,29,0,7.25
Miami (FL) (ACC),11,8-3,8,59,0,7.38
Oregon (Pac-12),7,4-3,9,67,0,7.44
SMU (AAC),10,7-3,10,75,0,7.5
UCLA (Pac-12),7,3-4,8,60,0,7.5
