Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Marshall (C-USA),10,7-3,15,13,0,0,9,0,130,13.0
Army West Point (FBS Independent),12,9-3,23,17,1,0,7,0,178,14.8
Air Force (Mountain West),6,3-3,12,12,0,0,2,0,90,15.0
BYU (FBS Independent),12,11-1,23,19,0,0,9,0,184,15.3
Northwestern (Big Ten),9,7-2,14,11,0,0,16,0,143,15.9
Iowa (Big Ten),8,6-2,17,15,1,0,3,0,128,16.0
Ohio (MAC),3,2-1,6,5,0,0,3,0,50,16.7
Cincinnati (AAC),10,9-1,18,15,2,0,13,1,168,16.8
Wisconsin (Big Ten),7,4-3,15,13,2,0,5,0,122,17.4
Fla. Atlantic (C-USA),9,5-4,17,15,1,0,12,1,157,17.4
San Diego St. (Mountain West),8,4-4,16,14,1,0,10,0,142,17.8
Rice (C-USA),5,2-3,11,10,0,0,6,0,94,18.8
Alabama (SEC),13,13-0,30,28,1,0,14,0,252,19.4
Notre Dame (ACC),12,10-2,27,24,1,0,16,0,236,19.7
San Jose St. (Mountain West),8,7-1,20,18,0,0,7,0,159,19.9
App State (Sun Belt),12,9-3,30,20,2,0,12,0,240,20.0
Georgia (SEC),10,8-2,24,23,0,0,11,0,200,20.0
Clemson (ACC),12,10-2,30,29,0,0,11,0,242,20.2
Coastal Carolina (Sun Belt),12,11-1,29,20,2,0,15,0,243,20.2
Indiana (Big Ten),8,6-2,21,17,2,0,5,0,162,20.2
West Virginia (Big 12),10,6-4,26,25,0,0,8,0,205,20.5
Liberty (FBS Independent),11,10-1,30,25,2,0,5,1,226,20.5
Ga. Southern (Sun Belt),13,8-5,33,28,1,0,14,0,270,20.8
Wyoming (Mountain West),6,2-4,16,15,0,0,5,0,126,21.0
Iowa St. (Big 12),12,9-3,31,28,2,0,13,0,257,21.4
UAB (C-USA),9,6-3,23,22,0,0,11,0,193,21.4
Tulsa (AAC),9,6-3,21,21,0,0,15,1,194,21.6
Texas A&M (SEC),10,9-1,27,26,0,0,9,1,217,21.7
Oklahoma (Big 12),11,9-2,30,29,0,0,10,0,239,21.7
Buffalo (MAC),7,6-1,19,16,1,0,7,0,153,21.9
Louisiana (Sun Belt),11,10-1,30,24,2,0,10,2,242,22.0
Arizona St. (Pac-12),4,2-2,13,8,2,0,1,0,93,23.2
Nevada (Mountain West),9,7-2,26,20,1,0,10,1,210,23.3
Oklahoma St. (Big 12),11,8-3,32,24,3,0,12,0,258,23.5
TCU (Big 12),10,6-4,29,19,4,0,13,1,242,24.2
Toledo (MAC),6,4-2,18,15,1,0,7,0,146,24.3
Pittsburgh (ACC),11,6-5,35,33,0,0,9,0,270,24.5
Auburn (SEC),11,6-5,36,30,1,0,8,0,272,24.7
Washington (Pac-12),4,3-1,14,13,0,0,1,0,100,25.0
Western Ky. (C-USA),12,5-7,39,32,1,0,12,0,304,25.3
UTSA (C-USA),12,7-5,40,35,0,0,11,0,308,25.7
Troy (Sun Belt),11,5-6,34,31,0,0,16,0,283,25.7
Ball St. (MAC),8,7-1,27,22,2,0,6,0,206,25.8
Ohio St. (Big Ten),8,7-1,27,21,0,0,7,1,206,25.8
Kentucky (SEC),11,5-6,38,36,2,0,5,1,285,25.9
Southern California (Pac-12),6,5-1,19,18,0,0,8,0,156,26.0
Utah (Pac-12),5,3-2,16,16,0,0,6,0,130,26.0
California (Pac-12),4,1-3,14,13,0,0,3,0,106,26.5
Louisville (ACC),11,4-7,35,29,2,0,16,1,293,26.6
Miami (OH) (MAC),3,2-1,11,11,0,0,1,0,80,26.7
Miami (FL) (ACC),11,8-3,37,36,0,0,13,0,297,27.0
Boise St. (Mountain West),7,5-2,23,14,4,0,10,0,190,27.1
South Alabama (Sun Belt),11,4-7,37,31,3,0,13,1,300,27.3
Hawaii (Mountain West),9,5-4,31,29,0,0,11,0,248,27.6
Penn St. (Big Ten),9,4-5,31,29,2,0,10,0,249,27.7
Memphis (AAC),11,8-3,39,33,2,0,12,0,307,27.9
Tulane (AAC),12,6-6,45,34,2,0,9,1,337,28.1
Mississippi St. (SEC),11,4-7,38,35,2,0,14,0,309,28.1
Oregon (Pac-12),7,4-3,25,22,1,0,8,0,198,28.3
Boston College (ACC),11,6-5,39,32,0,1,14,1,312,28.4
Texas (Big 12),10,7-3,34,31,1,0,16,0,285,28.5
NC State (ACC),12,8-4,41,37,1,0,21,1,350,29.2
Baylor (Big 12),9,2-7,33,29,0,0,12,0,263,29.2
Nebraska (Big Ten),8,3-5,27,26,1,0,15,0,235,29.4
North Carolina (ACC),12,8-4,44,36,4,0,15,0,353,29.4
Virginia (ACC),10,5-5,34,31,1,0,19,1,296,29.6
