Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Oklahoma St. (Big 12),11,8-3,44,166,0.265
Boise St. (Mountain West),7,5-2,29,107,0.271
Toledo (MAC),6,4-2,23,84,0.274
Oklahoma (Big 12),11,9-2,43,154,0.279
Wisconsin (Big Ten),7,4-3,25,87,0.287
San Diego St. (Mountain West),8,4-4,36,121,0.298
UAB (C-USA),9,6-3,39,131,0.298
Northwestern (Big Ten),9,7-2,40,134,0.299
NIU (MAC),6,0-6,19,61,0.311
Clemson (ACC),12,10-2,54,173,0.312
Buffalo (MAC),7,6-1,31,99,0.313
Notre Dame (ACC),12,10-2,48,153,0.314
Colorado (Pac-12),6,4-2,27,85,0.318
Liberty (FBS Independent),11,10-1,45,141,0.319
Tulsa (AAC),9,6-3,45,137,0.328
TCU (Big 12),10,6-4,51,155,0.329
Iowa St. (Big 12),12,9-3,51,154,0.331
Ohio (MAC),3,2-1,15,44,0.341
Ga. Southern (Sun Belt),13,8-5,61,178,0.343
Utah (Pac-12),5,3-2,23,67,0.343
Marshall (C-USA),10,7-3,48,139,0.345
Cincinnati (AAC),10,9-1,52,150,0.347
Texas A&M (SEC),10,9-1,43,123,0.35
Texas (Big 12),10,7-3,53,151,0.351
Pittsburgh (ACC),11,6-5,59,167,0.353
Nevada (Mountain West),9,7-2,48,135,0.356
Ball St. (MAC),8,7-1,37,104,0.356
Georgia (SEC),10,8-2,50,140,0.357
Memphis (AAC),11,8-3,58,161,0.36
Wyoming (Mountain West),6,2-4,29,80,0.362
NC State (ACC),12,8-4,67,183,0.366
Georgia St. (Sun Belt),10,6-4,51,138,0.37
Army West Point (FBS Independent),12,9-3,54,146,0.37
Penn St. (Big Ten),9,4-5,47,127,0.37
Ohio St. (Big Ten),8,7-1,39,105,0.371
East Carolina (AAC),9,3-6,45,121,0.372
LSU (SEC),10,5-5,47,126,0.373
Eastern Mich. (MAC),6,2-4,28,75,0.373
Indiana (Big Ten),8,6-2,42,112,0.375
Missouri (SEC),10,5-5,47,125,0.376
App State (Sun Belt),12,9-3,65,172,0.378
Houston (AAC),8,3-5,44,116,0.379
North Carolina (ACC),12,8-4,63,166,0.38
Coastal Carolina (Sun Belt),12,11-1,57,150,0.38
Navy (AAC),10,3-7,48,126,0.381
Troy (Sun Belt),11,5-6,61,160,0.381
Miami (FL) (ACC),11,8-3,62,162,0.383
Michigan St. (Big Ten),7,2-5,41,107,0.383
Rutgers (Big Ten),9,3-6,50,129,0.388
UTEP (C-USA),8,3-5,37,95,0.389
San Jose St. (Mountain West),8,7-1,47,120,0.392
BYU (FBS Independent),12,11-1,67,171,0.392
Baylor (Big 12),9,2-7,51,130,0.392
Southern California (Pac-12),6,5-1,31,79,0.392
West Virginia (Big 12),10,6-4,55,140,0.393
Western Mich. (MAC),6,4-2,36,91,0.396
Louisville (ACC),11,4-7,59,149,0.396
Tulane (AAC),12,6-6,78,195,0.4
UTSA (C-USA),12,7-5,66,165,0.4
Fla. Atlantic (C-USA),9,5-4,54,135,0.4
Kansas St. (Big 12),10,4-6,59,147,0.401
Iowa (Big Ten),8,6-2,54,134,0.403
Colorado St. (Mountain West),4,1-3,27,67,0.403
Boston College (ACC),11,6-5,57,141,0.404
Nebraska (Big Ten),8,3-5,47,116,0.405
Virginia Tech (ACC),11,5-6,62,153,0.405
FIU (C-USA),5,0-5,30,74,0.405
California (Pac-12),4,1-3,22,54,0.407
Minnesota (Big Ten),7,3-4,29,71,0.408
Rice (C-USA),5,2-3,27,66,0.409
Mississippi St. (SEC),11,4-7,66,161,0.41
Florida (SEC),12,8-4,69,168,0.411
South Alabama (Sun Belt),11,4-7,59,143,0.413
Duke (ACC),11,2-9,64,155,0.413
Oregon (Pac-12),7,4-3,48,116,0.414
Texas Tech (Big 12),10,4-6,65,157,0.414
Alabama (SEC),13,13-0,83,200,0.415
Wake Forest (ACC),9,4-5,52,125,0.416
Virginia (ACC),10,5-5,60,144,0.417
Maryland (Big Ten),5,2-3,35,84,0.417
Arkansas St. (Sun Belt),11,4-7,68,163,0.417
Hawaii (Mountain West),9,5-4,53,127,0.417
Kansas (Big 12),9,0-9,51,122,0.418
Western Ky. (C-USA),12,5-7,77,183,0.421
Washington (Pac-12),4,3-1,22,52,0.423
Kentucky (SEC),11,5-6,60,141,0.426
New Mexico (Mountain West),7,2-5,38,89,0.427
Arizona (Pac-12),5,0-5,27,63,0.429
Illinois (Big Ten),8,2-6,43,100,0.43
UCF (AAC),10,6-4,63,146,0.432
SMU (AAC),10,7-3,66,152,0.434
Louisiana (Sun Belt),11,10-1,74,170,0.435
Purdue (Big Ten),6,2-4,38,87,0.437
Kent St. (MAC),4,3-1,21,48,0.438
Vanderbilt (SEC),9,0-9,43,98,0.439
Temple (AAC),7,1-6,40,91,0.44
Arizona St. (Pac-12),4,2-2,31,69,0.449
Central Mich. (MAC),6,3-3,40,89,0.449
UCLA (Pac-12),7,3-4,49,107,0.458
Miami (OH) (MAC),3,2-1,18,39,0.462
Michigan (Big Ten),6,2-4,43,93,0.462
Utah St. (Mountain West),6,1-5,38,82,0.463
Charlotte (C-USA),6,2-4,32,69,0.464
