Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Indiana (Big Ten),8,6-2,25,4,8,4,16,0.64
Army West Point (FBS Independent),12,9-3,31,4,11,5,20,0.645
Marshall (C-USA),10,7-3,24,6,6,4,16,0.667
Air Force (Mountain West),6,3-3,13,4,3,2,9,0.692
Fla. Atlantic (C-USA),9,5-4,23,4,4,8,16,0.696
Northwestern (Big Ten),9,7-2,27,5,3,11,19,0.704
Wyoming (Mountain West),6,2-4,17,6,3,3,12,0.706
Eastern Mich. (MAC),6,2-4,28,11,6,3,20,0.714
San Jose St. (Mountain West),8,7-1,25,10,5,3,18,0.72
Wisconsin (Big Ten),7,4-3,18,1,9,3,13,0.722
Charlotte (C-USA),6,2-4,29,13,6,2,21,0.724
Ga. Southern (Sun Belt),13,8-5,44,12,8,12,32,0.727
Iowa (Big Ten),8,6-2,22,8,5,3,16,0.727
Rice (C-USA),5,2-3,11,4,0,4,8,0.727
Cincinnati (AAC),10,9-1,34,9,6,10,25,0.735
Ball St. (MAC),8,7-1,31,10,10,3,23,0.742
Iowa St. (Big 12),12,9-3,35,10,7,9,26,0.743
Alabama (SEC),13,13-0,39,14,6,9,29,0.744
Memphis (AAC),11,8-3,43,10,15,7,32,0.744
California (Pac-12),4,1-3,16,5,4,3,12,0.75
Kentucky (SEC),11,5-6,44,16,13,4,33,0.75
Pittsburgh (ACC),11,6-5,32,9,9,6,24,0.75
Tulsa (AAC),9,6-3,32,6,7,11,24,0.75
Tulane (AAC),12,6-6,41,14,11,6,31,0.756
App State (Sun Belt),12,9-3,37,12,7,9,28,0.757
BYU (FBS Independent),12,11-1,25,7,9,3,19,0.76
Auburn (SEC),11,6-5,38,13,12,4,29,0.763
Minnesota (Big Ten),7,3-4,34,13,8,5,26,0.765
Buffalo (MAC),7,6-1,26,10,5,5,20,0.769
NIU (MAC),6,0-6,26,9,6,5,20,0.769
Clemson (ACC),12,10-2,31,6,12,6,24,0.774
Nevada (Mountain West),9,7-2,31,8,9,7,24,0.774
Akron (MAC),6,1-5,27,15,5,1,21,0.778
Liberty (FBS Independent),11,10-1,32,10,12,3,25,0.781
Michigan St. (Big Ten),7,2-5,32,16,4,5,25,0.781
