Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Army West Point (FBS Independent),12,9-3,661,3304,5.0,21,23,275.3
Marshall (C-USA),10,7-3,635,2794,4.4,14,15,279.4
San Diego St. (Mountain West),8,4-4,520,2268,4.36,16,16,283.5
West Virginia (Big 12),10,6-4,626,2914,4.65,23,26,291.4
Wisconsin (Big Ten),7,4-3,419,2099,5.01,14,15,299.9
Air Force (Mountain West),6,3-3,360,1820,5.06,11,12,303.3
UAB (C-USA),9,6-3,597,2800,4.69,20,23,311.1
Iowa (Big Ten),8,6-2,578,2510,4.34,17,17,313.8
Texas A&M (SEC),10,9-1,593,3173,5.35,25,27,317.3
BYU (FBS Independent),12,11-1,793,3809,4.8,23,23,317.4
Liberty (FBS Independent),11,10-1,667,3495,5.24,29,30,317.7
Georgia (SEC),10,8-2,661,3210,4.86,23,24,321.0
Cincinnati (AAC),10,9-1,710,3246,4.57,17,18,324.6
Ga. Southern (Sun Belt),13,8-5,828,4234,5.11,30,33,325.7
Clemson (ACC),12,10-2,781,3922,5.02,26,30,326.8
Wyoming (Mountain West),6,2-4,399,1968,4.93,15,16,328.0
Penn St. (Big Ten),9,4-5,585,2959,5.06,28,31,328.8
App State (Sun Belt),12,9-3,798,3946,4.94,27,30,328.8
Tulsa (AAC),9,6-3,638,2997,4.7,19,21,333.0
Pittsburgh (ACC),11,6-5,765,3735,4.88,34,35,339.5
Iowa St. (Big 12),12,9-3,761,4085,5.37,25,31,340.4
Northwestern (Big Ten),9,7-2,632,3071,4.86,13,14,341.2
Rice (C-USA),5,2-3,300,1708,5.69,10,11,341.6
Fla. Atlantic (C-USA),9,5-4,601,3080,5.12,15,17,342.2
Notre Dame (ACC),12,10-2,742,4123,5.56,26,27,343.6
San Jose St. (Mountain West),8,7-1,559,2769,4.95,18,20,346.1
Washington (Pac-12),4,3-1,259,1385,5.35,13,14,346.2
Western Ky. (C-USA),12,5-7,827,4184,5.06,36,39,348.7
Oklahoma (Big 12),11,9-2,743,3857,5.19,30,30,350.6
TCU (Big 12),10,6-4,659,3509,5.32,27,29,350.9
Coastal Carolina (Sun Belt),12,11-1,770,4223,5.48,28,29,351.9
Alabama (SEC),13,13-0,909,4579,5.04,30,30,352.2
Louisiana (Sun Belt),11,10-1,795,3909,4.92,30,30,355.4
Colorado St. (Mountain West),4,1-3,298,1435,4.82,13,18,358.8
Buffalo (MAC),7,6-1,483,2513,5.2,18,19,359.0
Toledo (MAC),6,4-2,406,2173,5.35,18,18,362.2
Utah (Pac-12),5,3-2,332,1825,5.5,15,16,365.0
California (Pac-12),4,1-3,258,1468,5.69,14,14,367.0
Louisville (ACC),11,4-7,704,4060,5.77,34,35,369.1
Southern California (Pac-12),6,5-1,404,2218,5.49,18,19,369.7
Boise St. (Mountain West),7,5-2,497,2613,5.26,23,23,373.3
Nevada (Mountain West),9,7-2,630,3399,5.4,25,26,377.7
Indiana (Big Ten),8,6-2,548,3025,5.52,20,21,378.1
Oklahoma St. (Big 12),11,8-3,784,4169,5.32,31,32,379.0
Kentucky (SEC),11,5-6,764,4188,5.48,36,38,380.7
UTEP (C-USA),8,3-5,499,3050,6.11,33,33,381.2
UTSA (C-USA),12,7-5,818,4600,5.62,38,40,383.3
Baylor (Big 12),9,2-7,625,3451,5.52,32,33,383.4
