Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Massachusetts (FBS Independent),4,0-4,3,36,0,12.0
Minnesota (Big Ten),7,3-4,22,300,0,13.64
BYU (FBS Independent),12,11-1,23,358,0,15.57
Rice (C-USA),5,2-3,17,266,0,15.65
Iowa (Big Ten),8,6-2,15,236,0,15.73
Marshall (C-USA),10,7-3,29,464,0,16.0
Navy (AAC),10,3-7,14,234,0,16.71
Georgia (SEC),10,8-2,10,168,0,16.8
SMU (AAC),10,7-3,20,339,0,16.95
Missouri (SEC),10,5-5,3,51,0,17.0
Southern California (Pac-12),6,5-1,6,102,0,17.0
Arkansas St. (Sun Belt),11,4-7,29,494,0,17.03
Penn St. (Big Ten),9,4-5,4,69,0,17.25
App State (Sun Belt),12,9-3,42,728,1,17.33
Utah St. (Mountain West),6,1-5,14,243,0,17.36
Memphis (AAC),11,8-3,19,331,0,17.42
Ole Miss (SEC),10,5-5,22,384,0,17.45
ULM (Sun Belt),10,0-10,18,315,0,17.5
Texas St. (Sun Belt),12,2-10,21,369,0,17.57
Pittsburgh (ACC),11,6-5,21,372,0,17.71
Ohio St. (Big Ten),8,7-1,19,337,0,17.74
Louisiana (Sun Belt),11,10-1,38,680,0,17.89
Eastern Mich. (MAC),6,2-4,27,487,0,18.04
Notre Dame (ACC),12,10-2,35,635,0,18.14
Alabama (SEC),13,13-0,34,618,0,18.18
Virginia Tech (ACC),11,5-6,21,382,0,18.19
Northwestern (Big Ten),9,7-2,24,437,0,18.21
Boise St. (Mountain West),7,5-2,14,256,0,18.29
San Jose St. (Mountain West),8,7-1,31,568,0,18.32
Army West Point (FBS Independent),12,9-3,33,607,0,18.39
Troy (Sun Belt),11,5-6,17,313,0,18.41
Louisville (ACC),11,4-7,38,702,0,18.47
Stanford (Pac-12),6,4-2,10,185,0,18.5
Miami (OH) (MAC),3,2-1,12,225,0,18.75
NIU (MAC),6,0-6,16,301,1,18.81
Coastal Carolina (Sun Belt),12,11-1,45,849,0,18.87
Vanderbilt (SEC),9,0-9,14,265,0,18.93
Florida (SEC),12,8-4,28,533,0,19.04
West Virginia (Big 12),10,6-4,36,686,1,19.06
Arizona St. (Pac-12),4,2-2,14,267,0,19.07
Liberty (FBS Independent),11,10-1,47,898,1,19.11
Georgia St. (Sun Belt),10,6-4,40,772,0,19.3
North Texas (C-USA),10,4-6,38,736,0,19.37
Ohio (MAC),3,2-1,12,234,0,19.5
Virginia (ACC),10,5-5,16,316,0,19.75
Oregon St. (Pac-12),7,2-5,18,357,0,19.83
Texas (Big 12),10,7-3,12,238,0,19.83
Maryland (Big Ten),5,2-3,14,278,0,19.86
Western Mich. (MAC),6,4-2,22,439,0,19.95
Ball St. (MAC),8,7-1,33,659,1,19.97
Rutgers (Big Ten),9,3-6,28,562,1,20.07
Washington St. (Pac-12),4,1-3,9,181,0,20.11
Middle Tenn. (C-USA),9,3-6,33,669,0,20.27
East Carolina (AAC),9,3-6,14,284,0,20.29
Texas A&M (SEC),10,9-1,7,142,0,20.29
Toledo (MAC),6,4-2,18,369,0,20.5
Indiana (Big Ten),8,6-2,23,473,0,20.57
Michigan (Big Ten),6,2-4,7,144,0,20.57
Western Ky. (C-USA),12,5-7,22,453,1,20.59
Wisconsin (Big Ten),7,4-3,14,290,0,20.71
Georgia Tech (ACC),10,3-7,33,686,0,20.79
New Mexico (Mountain West),7,2-5,23,481,0,20.91
Central Mich. (MAC),6,3-3,28,589,1,21.04
UTEP (C-USA),8,3-5,22,464,0,21.09
Akron (MAC),6,1-5,16,340,0,21.25
Oregon (Pac-12),7,4-3,24,512,0,21.33
TCU (Big 12),10,6-4,27,577,0,21.37
Mississippi St. (SEC),11,4-7,8,171,0,21.38
North Carolina (ACC),12,8-4,11,236,0,21.45
Florida St. (ACC),9,3-6,23,495,0,21.52
Southern Miss. (C-USA),10,3-7,23,501,0,21.78
Oklahoma St. (Big 12),11,8-3,38,828,1,21.79
Tulane (AAC),12,6-6,29,632,1,21.79
Texas Tech (Big 12),10,4-6,22,480,1,21.82
Ga. Southern (Sun Belt),13,8-5,43,939,2,21.84
Cincinnati (AAC),10,9-1,23,503,0,21.87
South Fla. (AAC),9,1-8,18,394,1,21.89
Duke (ACC),11,2-9,25,548,0,21.92
Oklahoma (Big 12),11,9-2,40,884,0,22.1
Syracuse (ACC),11,1-10,18,398,0,22.11
UCLA (Pac-12),7,3-4,17,377,0,22.18
Iowa St. (Big 12),12,9-3,56,1244,2,22.21
Wake Forest (ACC),9,4-5,21,469,0,22.33
Tennessee (SEC),10,3-7,5,112,0,22.4
Clemson (ACC),12,10-2,12,269,0,22.42
Utah (Pac-12),5,3-2,18,404,0,22.44
Nebraska (Big Ten),8,3-5,22,498,1,22.64
Fresno St. (Mountain West),6,3-3,32,728,1,22.75
Colorado (Pac-12),6,4-2,16,365,0,22.81
UCF (AAC),10,6-4,25,571,0,22.84
Illinois (Big Ten),8,2-6,14,320,1,22.86
California (Pac-12),4,1-3,9,206,0,22.89
Kent St. (MAC),4,3-1,18,412,0,22.89
NC State (ACC),12,8-4,27,619,1,22.93
Boston College (ACC),11,6-5,36,827,0,22.97
FIU (C-USA),5,0-5,3,69,0,23.0
UTSA (C-USA),12,7-5,29,669,0,23.07
Air Force (Mountain West),6,3-3,14,324,1,23.14
Buffalo (MAC),7,6-1,23,534,0,23.22
Hawaii (Mountain West),9,5-4,16,373,1,23.31
Miami (FL) (ACC),11,8-3,17,401,1,23.59
UNLV (Mountain West),6,0-6,18,427,0,23.72
Tulsa (AAC),9,6-3,36,859,0,23.86
Wyoming (Mountain West),6,2-4,17,407,0,23.94
Temple (AAC),7,1-6,20,479,1,23.95
Charlotte (C-USA),6,2-4,7,169,0,24.14
Michigan St. (Big Ten),7,2-5,17,412,0,24.24
UAB (C-USA),9,6-3,31,753,1,24.29
South Alabama (Sun Belt),11,4-7,20,490,0,24.5
Baylor (Big 12),9,2-7,16,393,0,24.56
Arkansas (SEC),10,3-7,14,345,0,24.64
Nevada (Mountain West),9,7-2,25,618,1,24.72
