Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Rice (CUSA),5,2-3,17,104,20.8
Akron (MAC),6,1-5,24,190,31.67
Ga. Southern (Sun Belt),13,8-5,53,440,33.85
South Alabama (Sun Belt),11,4-7,42,384,34.91
California (Pac-12),4,1-3,18,140,35.0
Coastal Carolina (Sun Belt),12,11-1,44,428,35.67
Southern Miss. (CUSA),10,3-7,44,367,36.7
BYU (FBS Independent),12,11-1,52,442,36.83
Penn St. (Big Ten),9,4-5,39,335,37.22
Notre Dame (ACC),12,10-2,53,456,38.0
Vanderbilt (SEC),9,0-9,42,343,38.11
Fla. Atlantic (CUSA),9,5-4,42,350,38.89
Army West Point (FBS Independent),12,9-3,55,468,39.0
Iowa (Big Ten),8,6-2,38,317,39.62
Western Ky. (CUSA),12,5-7,54,481,40.08
Navy (AAC),10,3-7,44,402,40.2
Northwestern (Big Ten),9,7-2,45,364,40.44
Washington (Pac-12),4,3-1,21,162,40.5
Air Force (Mountain West),6,3-3,27,245,40.83
Minnesota (Big Ten),7,3-4,32,293,41.86
Wisconsin (Big Ten),7,4-3,36,296,42.29
San Diego St. (Mountain West),8,4-4,38,339,42.38
Iowa St. (Big 12),12,9-3,61,511,42.58
Hawaii (Mountain West),9,5-4,48,386,42.89
Wyoming (Mountain West),6,2-4,30,259,43.17
Bowling Green (MAC),5,0-5,30,216,43.2
South Carolina (SEC),10,2-8,50,437,43.7
ULM (Sun Belt),10,0-10,48,437,43.7
Eastern Mich. (MAC),6,2-4,29,263,43.83
Wake Forest (ACC),9,4-5,48,401,44.56
Indiana (Big Ten),8,6-2,34,358,44.75
Florida (SEC),12,8-4,64,542,45.17
Fresno St. (Mountain West),6,3-3,32,272,45.33
Louisiana Tech (CUSA),10,5-5,50,456,45.6
Arkansas (SEC),10,3-7,64,457,45.7
Temple (AAC),7,1-6,38,321,45.86
LSU (SEC),10,5-5,61,462,46.2
Troy (Sun Belt),11,5-6,55,509,46.27
Kansas (Big 12),9,0-9,51,418,46.44
Washington St. (Pac-12),4,1-3,21,187,46.75
Virginia Tech (ACC),11,5-6,58,517,47.0
Memphis (AAC),11,8-3,61,520,47.27
Utah St. (Mountain West),6,1-5,32,284,47.33
Colorado St. (Mountain West),4,1-3,24,190,47.5
Utah (Pac-12),5,3-2,26,238,47.6
FIU (CUSA),5,0-5,32,240,48.0
Ohio (MAC),3,2-1,20,144,48.0
Alabama (SEC),13,13-0,78,625,48.08
Clemson (ACC),12,10-2,65,578,48.17
Virginia (ACC),10,5-5,53,483,48.3
South Fla. (AAC),9,1-8,48,436,48.44
Oregon St. (Pac-12),7,2-5,42,342,48.86
Ball St. (MAC),8,7-1,46,391,48.88
Boise St. (Mountain West),7,5-2,34,345,49.29
Texas St. (Sun Belt),12,2-10,62,597,49.75
Auburn (SEC),11,6-5,64,548,49.82
Missouri (SEC),10,5-5,58,499,49.9
Tennessee (SEC),10,3-7,61,502,50.2
Illinois (Big Ten),8,2-6,39,406,50.75
Oregon (Pac-12),7,4-3,41,356,50.86
Duke (ACC),11,2-9,62,562,51.09
Ole Miss (SEC),10,5-5,60,516,51.6
Stanford (Pac-12),6,4-2,34,310,51.67
Middle Tenn. (CUSA),9,3-6,51,470,52.22
Tulane (AAC),12,6-6,75,629,52.42
Louisville (ACC),11,4-7,69,577,52.45
Buffalo (MAC),7,6-1,42,368,52.57
Georgia (SEC),10,8-2,55,528,52.8
UCLA (Pac-12),7,3-4,48,374,53.43
North Texas (CUSA),10,4-6,68,536,53.6
Oklahoma St. (Big 12),11,8-3,73,593,53.91
Massachusetts (FBS Independent),4,0-4,22,216,54.0
Ohio St. (Big Ten),8,7-1,49,435,54.38
Arizona St. (Pac-12),4,2-2,28,218,54.5
New Mexico (Mountain West),7,2-5,41,390,55.71
Kentucky (SEC),11,5-6,63,615,55.91
Colorado (Pac-12),6,4-2,34,338,56.33
Kansas St. (Big 12),10,4-6,65,564,56.4
UNLV (Mountain West),6,0-6,40,339,56.5
San Jose St. (Mountain West),8,7-1,53,453,56.62
Liberty (FBS Independent),11,10-1,66,624,56.73
Arkansas St. (Sun Belt),11,4-7,70,631,57.36
Michigan (Big Ten),6,2-4,35,345,57.5
Texas Tech (Big 12),10,4-6,67,577,57.7
Texas A&M (SEC),10,9-1,62,579,57.9
East Carolina (AAC),9,3-6,57,524,58.22
Georgia St. (Sun Belt),10,6-4,55,587,58.7
Arizona (Pac-12),5,0-5,34,294,58.8
SMU (AAC),10,7-3,68,590,59.0
Central Mich. (MAC),6,3-3,37,356,59.33
Purdue (Big Ten),6,2-4,42,359,59.83
Mississippi St. (SEC),11,4-7,72,661,60.09
Nebraska (Big Ten),8,3-5,54,485,60.62
Miami (OH) (MAC),3,2-1,18,182,60.67
Rutgers (Big Ten),9,3-6,67,548,60.89
Louisiana (Sun Belt),11,10-1,68,676,61.45
TCU (Big 12),10,6-4,77,615,61.5
Charlotte (CUSA),6,2-4,42,370,61.67
Baylor (Big 12),9,2-7,65,562,62.44
Marshall (CUSA),10,7-3,60,627,62.7
UTEP (CUSA),8,3-5,57,505,63.12
Michigan St. (Big Ten),7,2-5,49,446,63.71
Boston College (ACC),11,6-5,84,725,65.91
Western Mich. (MAC),6,4-2,47,396,66.0
Syracuse (ACC),11,1-10,77,728,66.18
UTSA (CUSA),12,7-5,84,803,66.92
Oklahoma (Big 12),11,9-2,80,738,67.09
App State (Sun Belt),12,9-3,88,811,67.58
North Carolina (ACC),12,8-4,85,814,67.83
NIU (MAC),6,0-6,41,408,68.0
Houston (AAC),8,3-5,61,546,68.25
Nevada (Mountain West),9,7-2,72,625,69.44
Miami (FL) (ACC),11,8-3,86,775,70.45
Pittsburgh (ACC),11,6-5,88,777,70.64
Southern California (Pac-12),6,5-1,40,426,71.0
West Virginia (Big 12),10,6-4,82,741,74.1
NC State (ACC),12,8-4,96,891,74.25
UCF (AAC),10,6-4,92,748,74.8
Georgia Tech (ACC),10,3-7,89,749,74.9
Toledo (MAC),6,4-2,58,451,75.17
Cincinnati (AAC),10,9-1,88,768,76.8
Texas (Big 12),10,7-3,81,770,77.0
Florida St. (ACC),9,3-6,80,700,77.78
Maryland (Big Ten),5,2-3,44,398,79.6
Kent St. (MAC),4,3-1,37,325,81.25
Tulsa (AAC),9,6-3,81,742,82.44
UAB (CUSA),9,6-3,82,768,85.33
