Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Alabama (SEC),13,13-0,146,86,0.589
Kent St. (MAC),4,3-1,57,32,0.561
Texas A&M (SEC),10,9-1,133,73,0.549
Coastal Carolina (Sun Belt),12,11-1,149,78,0.523
App State (Sun Belt),12,9-3,162,83,0.512
Florida (SEC),12,8-4,140,70,0.5
Ole Miss (SEC),10,5-5,141,70,0.496
Notre Dame (ACC),12,10-2,166,82,0.494
BYU (FBS Independent),12,11-1,132,65,0.492
Ohio St. (Big Ten),8,7-1,106,52,0.491
UCF (AAC),10,6-4,160,78,0.488
Air Force (Mountain West),6,3-3,68,33,0.485
Stanford (Pac-12),6,4-2,85,41,0.482
Toledo (MAC),6,4-2,85,41,0.482
Buffalo (MAC),7,6-1,81,39,0.481
Washington (Pac-12),4,3-1,54,26,0.481
Liberty (FBS Independent),11,10-1,148,71,0.48
Minnesota (Big Ten),7,3-4,86,41,0.477
SMU (AAC),10,7-3,147,69,0.469
Arizona St. (Pac-12),4,2-2,45,21,0.467
Ball St. (MAC),8,7-1,120,56,0.467
North Texas (C-USA),10,4-6,150,70,0.467
Clemson (ACC),12,10-2,179,83,0.464
North Carolina (ACC),12,8-4,139,64,0.46
Georgia (SEC),10,8-2,135,62,0.459
Troy (Sun Belt),11,5-6,164,75,0.457
Cincinnati (AAC),10,9-1,132,60,0.455
Georgia St. (Sun Belt),10,6-4,165,75,0.455
Iowa St. (Big 12),12,9-3,161,73,0.453
Marshall (C-USA),10,7-3,128,58,0.453
Army West Point (FBS Independent),12,9-3,168,76,0.452
Auburn (SEC),11,6-5,158,71,0.449
Memphis (AAC),11,8-3,172,77,0.448
Louisville (ACC),11,4-7,143,64,0.448
UCLA (Pac-12),7,3-4,97,43,0.443
Boston College (ACC),11,6-5,147,65,0.442
NC State (ACC),12,8-4,161,71,0.441
UTEP (C-USA),8,3-5,109,48,0.44
Southern California (Pac-12),6,5-1,89,39,0.438
UTSA (C-USA),12,7-5,179,78,0.436
Boise St. (Mountain West),7,5-2,97,42,0.433
Western Mich. (MAC),6,4-2,67,29,0.433
Missouri (SEC),10,5-5,141,61,0.433
Oregon (Pac-12),7,4-3,74,32,0.432
Fresno St. (Mountain West),6,3-3,88,38,0.432
New Mexico (Mountain West),7,2-5,107,46,0.43
Louisiana (Sun Belt),11,10-1,138,59,0.428
Colorado (Pac-12),6,4-2,96,41,0.427
Middle Tenn. (C-USA),9,3-6,129,55,0.426
UAB (C-USA),9,6-3,130,55,0.423
Southern Miss. (C-USA),10,3-7,135,57,0.422
Oklahoma St. (Big 12),11,8-3,173,73,0.422
Penn St. (Big Ten),9,4-5,133,56,0.421
Eastern Mich. (MAC),6,2-4,81,34,0.42
Tulsa (AAC),9,6-3,139,58,0.417
West Virginia (Big 12),10,6-4,161,67,0.416
Nevada (Mountain West),9,7-2,118,49,0.415
Miami (OH) (MAC),3,2-1,41,17,0.415
Georgia Tech (ACC),10,3-7,146,60,0.411
Oklahoma (Big 12),11,9-2,135,55,0.407
Charlotte (C-USA),6,2-4,96,39,0.406
Miami (FL) (ACC),11,8-3,160,65,0.406
Wake Forest (ACC),9,4-5,138,56,0.406
Ga. Southern (Sun Belt),13,8-5,163,66,0.405
Oregon St. (Pac-12),7,2-5,99,40,0.404
Houston (AAC),8,3-5,120,48,0.4
Arkansas St. (Sun Belt),11,4-7,173,69,0.399
Vanderbilt (SEC),9,0-9,138,55,0.399
South Alabama (Sun Belt),11,4-7,167,66,0.395
Northwestern (Big Ten),9,7-2,150,59,0.393
Washington St. (Pac-12),4,1-3,51,20,0.392
Hawaii (Mountain West),9,5-4,138,54,0.391
Fla. Atlantic (C-USA),9,5-4,134,52,0.388
Duke (ACC),11,2-9,168,65,0.387
Louisiana Tech (C-USA),10,5-5,156,60,0.385
Indiana (Big Ten),8,6-2,115,44,0.383
Rice (C-USA),5,2-3,76,29,0.382
Virginia Tech (ACC),11,5-6,134,51,0.381
Illinois (Big Ten),8,2-6,113,43,0.381
Utah St. (Mountain West),6,1-5,92,35,0.38
Wisconsin (Big Ten),7,4-3,100,38,0.38
Temple (AAC),7,1-6,116,44,0.379
Maryland (Big Ten),5,2-3,66,25,0.379
Utah (Pac-12),5,3-2,69,26,0.377
San Jose St. (Mountain West),8,7-1,101,38,0.376
Ohio (MAC),3,2-1,32,12,0.375
Purdue (Big Ten),6,2-4,80,30,0.375
TCU (Big 12),10,6-4,144,54,0.375
California (Pac-12),4,1-3,67,25,0.373
Texas (Big 12),10,7-3,134,50,0.373
Virginia (ACC),10,5-5,143,53,0.371
UNLV (Mountain West),6,0-6,92,34,0.37
Texas Tech (Big 12),10,4-6,149,55,0.369
San Diego St. (Mountain West),8,4-4,120,44,0.367
Kentucky (SEC),11,5-6,142,52,0.366
Nebraska (Big Ten),8,3-5,104,38,0.365
South Carolina (SEC),10,2-8,137,50,0.365
Michigan (Big Ten),6,2-4,74,27,0.365
Pittsburgh (ACC),11,6-5,173,63,0.364
FIU (C-USA),5,0-5,78,28,0.359
Florida St. (ACC),9,3-6,132,47,0.356
LSU (SEC),10,5-5,156,54,0.346
Rutgers (Big Ten),9,3-6,144,49,0.34
Tulane (AAC),12,6-6,150,51,0.34
Arkansas (SEC),10,3-7,136,46,0.338
Navy (AAC),10,3-7,139,47,0.338
Iowa (Big Ten),8,6-2,107,36,0.336
Akron (MAC),6,1-5,78,26,0.333
East Carolina (AAC),9,3-6,129,43,0.333
Texas St. (Sun Belt),12,2-10,151,50,0.331
Baylor (Big 12),9,2-7,142,47,0.331
Kansas St. (Big 12),10,4-6,127,42,0.331
Arizona (Pac-12),5,0-5,79,26,0.329
Michigan St. (Big Ten),7,2-5,113,37,0.327
Mississippi St. (SEC),11,4-7,157,51,0.325
Western Ky. (C-USA),12,5-7,155,50,0.323
South Fla. (AAC),9,1-8,124,38,0.306
Wyoming (Mountain West),6,2-4,89,27,0.303
Tennessee (SEC),10,3-7,129,39,0.302
NIU (MAC),6,0-6,91,26,0.286
Central Mich. (MAC),6,3-3,85,24,0.282
Bowling Green (MAC),5,0-5,65,17,0.262
Syracuse (ACC),11,1-10,153,40,0.261
ULM (Sun Belt),10,0-10,133,34,0.256
Massachusetts (FBS Independent),4,0-4,55,14,0.255
Kansas (Big 12),9,0-9,142,33,0.232
Colorado St. (Mountain West),4,1-3,59,13,0.22
