Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Maryland (Big Ten),5,2-3,1,1,1.0
Louisiana Tech (CUSA),10,5-5,16,18,0.889
Kent St. (MAC),4,3-1,7,8,0.875
Stanford (Pac-12),6,4-2,6,7,0.857
Washington (Pac-12),4,3-1,5,6,0.833
Oklahoma (Big 12),11,9-2,8,10,0.8
Eastern Mich. (MAC),6,2-4,11,14,0.786
Liberty (FBS Independent),11,10-1,17,22,0.773
Hawaii (Mountain West),9,5-4,10,13,0.769
Coastal Carolina (Sun Belt),12,11-1,13,17,0.765
South Carolina (SEC),10,2-8,17,23,0.739
Houston (AAC),8,3-5,14,19,0.737
Air Force (Mountain West),6,3-3,8,11,0.727
Cincinnati (AAC),10,9-1,10,14,0.714
LSU (SEC),10,5-5,12,17,0.706
Northwestern (Big Ten),9,7-2,18,26,0.692
Iowa St. (Big 12),12,9-3,11,16,0.688
Miami (FL) (ACC),11,8-3,13,19,0.684
Army West Point (FBS Independent),12,9-3,23,34,0.676
Ole Miss (SEC),10,5-5,22,33,0.667
Navy (AAC),10,3-7,20,30,0.667
Tennessee (SEC),10,3-7,16,24,0.667
Nevada (Mountain West),9,7-2,12,18,0.667
Clemson (ACC),12,10-2,10,15,0.667
Southern California (Pac-12),6,5-1,10,15,0.667
UNLV (Mountain West),6,0-6,10,15,0.667
NC State (ACC),12,8-4,8,12,0.667
Iowa (Big Ten),8,6-2,6,9,0.667
UAB (CUSA),9,6-3,6,9,0.667
Miami (OH) (MAC),3,2-1,2,3,0.667
Boston College (ACC),11,6-5,9,14,0.643
Georgia St. (Sun Belt),10,6-4,9,14,0.643
Virginia (ACC),10,5-5,16,25,0.64
Arkansas (SEC),10,3-7,7,11,0.636
NIU (MAC),6,0-6,12,19,0.632
Oregon St. (Pac-12),7,2-5,12,19,0.632
Notre Dame (ACC),12,10-2,10,16,0.625
Western Mich. (MAC),6,4-2,5,8,0.625
Fresno St. (Mountain West),6,3-3,8,13,0.615
Nebraska (Big Ten),8,3-5,8,13,0.615
Baylor (Big 12),9,2-7,12,20,0.6
Vanderbilt (SEC),9,0-9,12,20,0.6
Kansas St. (Big 12),10,4-6,6,10,0.6
Troy (Sun Belt),11,5-6,10,17,0.588
Memphis (AAC),11,8-3,14,24,0.583
Texas Tech (Big 12),10,4-6,14,24,0.583
Charlotte (CUSA),6,2-4,7,12,0.583
Florida (SEC),12,8-4,7,12,0.583
Central Mich. (MAC),6,3-3,11,19,0.579
North Carolina (ACC),12,8-4,11,19,0.579
Mississippi St. (SEC),11,4-7,12,21,0.571
Temple (AAC),7,1-6,8,14,0.571
Boise St. (Mountain West),7,5-2,4,7,0.571
Western Ky. (CUSA),12,5-7,18,32,0.562
East Carolina (AAC),9,3-6,10,18,0.556
Missouri (SEC),10,5-5,10,18,0.556
Alabama (SEC),13,13-0,5,9,0.556
Ohio St. (Big Ten),8,7-1,5,9,0.556
App State (Sun Belt),12,9-3,11,20,0.55
BYU (FBS Independent),12,11-1,12,22,0.545
Tulane (AAC),12,6-6,12,22,0.545
UCF (AAC),10,6-4,12,22,0.545
West Virginia (Big 12),10,6-4,12,22,0.545
Purdue (Big Ten),6,2-4,6,11,0.545
Rice (CUSA),5,2-3,6,11,0.545
Louisville (ACC),11,4-7,13,24,0.542
Ball St. (MAC),8,7-1,7,13,0.538
Buffalo (MAC),7,6-1,7,13,0.538
Minnesota (Big Ten),7,3-4,7,13,0.538
TCU (Big 12),10,6-4,7,13,0.538
Virginia Tech (ACC),11,5-6,7,13,0.538
Florida St. (ACC),9,3-6,15,28,0.536
Indiana (Big Ten),8,6-2,8,15,0.533
Tulsa (AAC),9,6-3,9,17,0.529
UTSA (CUSA),12,7-5,10,19,0.526
ULM (Sun Belt),10,0-10,17,33,0.515
Arkansas St. (Sun Belt),11,4-7,15,30,0.5
Penn St. (Big Ten),9,4-5,11,22,0.5
Pittsburgh (ACC),11,6-5,9,18,0.5
Middle Tenn. (CUSA),9,3-6,6,12,0.5
Texas (Big 12),10,7-3,6,12,0.5
Wyoming (Mountain West),6,2-4,6,12,0.5
Oklahoma St. (Big 12),11,8-3,5,10,0.5
Utah St. (Mountain West),6,1-5,5,10,0.5
California (Pac-12),4,1-3,4,8,0.5
Oregon (Pac-12),7,4-3,3,6,0.5
Duke (ACC),11,2-9,11,23,0.478
Fla. Atlantic (CUSA),9,5-4,11,23,0.478
Rutgers (Big Ten),9,3-6,11,23,0.478
Wake Forest (ACC),9,4-5,10,21,0.476
South Alabama (Sun Belt),11,4-7,16,34,0.471
Ga. Southern (Sun Belt),13,8-5,8,17,0.471
Kentucky (SEC),11,5-6,8,17,0.471
San Diego St. (Mountain West),8,4-4,8,17,0.471
Illinois (Big Ten),8,2-6,7,15,0.467
Toledo (MAC),6,4-2,6,13,0.462
