Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Penn St. (Big Ten),9,4-5,34,27,2,0,11,0,268,29.8
Louisville (ACC),11,4-7,41,40,0,0,13,0,325,29.5
Stanford (Pac-12),6,4-2,22,17,3,0,7,0,176,29.3
Texas Tech (Big 12),10,4-6,38,32,2,0,9,0,291,29.1
Pittsburgh (ACC),11,6-5,36,32,1,0,23,0,319,29.0
Indiana (Big Ten),8,6-2,28,25,3,0,10,1,231,28.9
Oregon St. (Pac-12),7,2-5,27,19,3,0,5,0,202,28.9
Miami (OH) (MAC),3,2-1,11,11,0,0,3,0,86,28.7
San Jose St. (Mountain West),8,7-1,29,26,1,0,9,0,229,28.6
Colorado (Pac-12),6,4-2,22,21,0,0,6,0,171,28.5
Marshall (C-USA),10,7-3,38,36,0,0,7,0,285,28.5
UAB (C-USA),9,6-3,32,31,0,0,11,0,256,28.4
Michigan (Big Ten),6,2-4,23,21,1,0,3,0,170,28.3
UTSA (C-USA),12,7-5,41,40,0,0,17,1,339,28.2
Boston College (ACC),11,6-5,36,32,2,0,18,0,306,27.8
Texas St. (Sun Belt),12,2-10,44,41,0,0,9,0,332,27.7
Troy (Sun Belt),11,5-6,37,34,1,0,13,2,301,27.4
Minnesota (Big Ten),7,3-4,26,23,0,0,4,0,191,27.3
Ga. Southern (Sun Belt),13,8-5,43,40,1,0,18,0,354,27.2
Purdue (Big Ten),6,2-4,20,20,0,0,7,1,163,27.2
Tulsa (AAC),9,6-3,30,26,0,0,12,1,244,27.1
Charlotte (C-USA),6,2-4,22,18,0,0,4,0,162,27.0
Washington St. (Pac-12),4,1-3,14,12,0,0,4,0,108,27.0
Army West Point (FBS Independent),12,9-3,43,38,1,0,7,1,321,26.8
Louisiana Tech (C-USA),10,5-5,33,33,0,0,12,0,267,26.7
Missouri (SEC),10,5-5,31,28,1,0,17,0,267,26.7
Rutgers (Big Ten),9,3-6,30,21,3,0,11,0,240,26.7
Kansas St. (Big 12),10,4-6,33,30,1,0,12,0,266,26.6
West Virginia (Big 12),10,6-4,32,29,1,0,14,0,265,26.5
Wyoming (Mountain West),6,2-4,17,16,1,0,13,0,159,26.5
Hawaii (Mountain West),9,5-4,30,26,3,0,8,0,236,26.2
Florida St. (ACC),9,3-6,30,26,0,0,8,1,232,25.8
Arkansas (SEC),10,3-7,34,27,1,0,8,0,257,25.7
Southern Miss. (C-USA),10,3-7,31,29,1,0,12,0,253,25.3
Wisconsin (Big Ten),7,4-3,23,23,0,0,5,0,176,25.1
Auburn (SEC),11,6-5,31,24,3,0,20,0,276,25.1
NIU (MAC),6,0-6,18,14,2,0,7,1,149,24.8
Duke (ACC),11,2-9,33,30,1,1,13,1,273,24.8
Northwestern (Big Ten),9,7-2,28,27,0,0,9,0,222,24.7
San Diego St. (Mountain West),8,4-4,24,23,0,0,10,0,197,24.6
Air Force (Mountain West),6,3-3,19,17,0,0,5,0,146,24.3
Georgia Tech (ACC),10,3-7,34,26,0,0,3,0,239,23.9
New Mexico (Mountain West),7,2-5,20,20,0,0,9,0,167,23.9
Maryland (Big Ten),5,2-3,15,14,1,0,4,0,118,23.6
South Carolina (SEC),10,2-8,29,26,1,0,11,0,235,23.5
Rice (C-USA),5,2-3,13,10,1,0,9,0,117,23.4
Baylor (Big 12),9,2-7,26,22,0,0,10,1,210,23.3
Nebraska (Big Ten),8,3-5,21,20,0,0,13,0,185,23.1
South Fla. (AAC),9,1-8,26,23,1,0,9,0,208,23.1
UTEP (C-USA),8,3-5,24,23,1,0,5,0,184,23.0
Middle Tenn. (C-USA),9,3-6,27,23,0,0,7,0,206,22.9
FIU (C-USA),5,0-5,15,11,1,0,3,0,112,22.4
Colorado St. (Mountain West),4,1-3,11,11,0,0,4,0,89,22.2
Kentucky (SEC),11,5-6,29,27,0,0,13,0,240,21.8
Tennessee (SEC),10,3-7,29,26,0,0,5,0,215,21.5
Mississippi St. (SEC),11,4-7,29,29,0,0,10,1,235,21.4
California (Pac-12),4,1-3,10,9,0,0,4,0,81,20.2
Illinois (Big Ten),8,2-6,20,20,0,0,7,0,161,20.1
South Alabama (Sun Belt),11,4-7,26,24,0,0,13,0,219,19.9
Temple (AAC),7,1-6,17,10,0,0,9,0,139,19.9
Western Ky. (C-USA),12,5-7,27,27,0,0,13,0,228,19.0
Fla. Atlantic (C-USA),9,5-4,21,20,0,0,8,0,170,18.9
Michigan St. (Big Ten),7,2-5,14,13,0,0,9,1,126,18.0
Syracuse (ACC),11,1-10,24,23,0,0,9,1,196,17.8
Arizona (Pac-12),5,0-5,10,9,0,0,6,0,87,17.4
UNLV (Mountain West),6,0-6,13,11,0,0,5,0,104,17.3
Akron (MAC),6,1-5,13,13,0,0,4,0,103,17.2
Navy (AAC),10,3-7,21,16,2,0,6,1,166,16.6
ULM (Sun Belt),10,0-10,23,15,1,0,2,1,163,16.3
Kansas (Big 12),9,0-9,18,10,3,0,6,0,142,15.8
Utah St. (Mountain West),6,1-5,12,10,0,0,3,1,93,15.5
Vanderbilt (SEC),9,0-9,17,17,0,0,4,1,133,14.8
Bowling Green (MAC),5,0-5,6,6,0,0,5,0,57,11.4
Massachusetts (FBS Independent),4,0-4,1,1,0,0,1,1,12,3.0
