Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Kent St. (MAC),4,3-1,27,25,0,0,4,0,199,49.8
Alabama (SEC),13,13-0,84,84,0,0,14,0,630,48.5
BYU (FBS Independent),12,11-1,69,63,3,0,13,0,522,43.5
Clemson (ACC),12,10-2,67,64,0,0,18,1,522,43.5
Buffalo (MAC),7,6-1,43,43,0,0,1,0,304,43.4
Oklahoma (Big 12),11,9-2,58,57,1,0,22,0,473,43.0
Texas (Big 12),10,7-3,54,50,3,0,15,1,427,42.7
UCF (AAC),10,6-4,55,46,4,0,12,1,422,42.2
North Carolina (ACC),12,8-4,66,64,1,1,12,0,500,41.7
Western Mich. (MAC),6,4-2,34,31,0,0,5,0,250,41.7
Ohio St. (Big Ten),8,7-1,44,43,0,0,7,0,328,41.0
Arizona St. (Pac-12),4,2-2,22,18,0,0,3,1,161,40.2
Florida (SEC),12,8-4,60,59,1,0,19,0,478,39.8
Ole Miss (SEC),10,5-5,54,46,2,0,6,0,392,39.2
SMU (AAC),10,7-3,48,43,1,0,17,1,386,38.6
Liberty (FBS Independent),11,10-1,55,51,0,0,13,0,420,38.2
Cincinnati (AAC),10,9-1,51,48,0,0,7,0,375,37.5
Coastal Carolina (Sun Belt),12,11-1,60,49,2,0,11,0,446,37.2
Wake Forest (ACC),9,4-5,40,38,2,0,14,0,324,36.0
UCLA (Pac-12),7,3-4,33,30,1,0,6,0,248,35.4
Toledo (MAC),6,4-2,27,23,2,0,7,0,210,35.0
Tulane (AAC),12,6-6,56,51,1,0,9,0,416,34.7
North Texas (C-USA),10,4-6,46,44,0,0,8,0,344,34.4
Ohio (MAC),3,2-1,14,13,0,0,2,0,103,34.3
Ball St. (MAC),8,7-1,35,28,3,0,10,0,274,34.2
Miami (FL) (ACC),11,8-3,45,38,3,0,20,0,374,34.0
Boise St. (Mountain West),7,5-2,31,30,0,0,7,0,237,33.9
App State (Sun Belt),12,9-3,52,51,0,0,13,2,406,33.8
Louisiana (Sun Belt),11,10-1,49,44,1,0,10,0,370,33.6
Notre Dame (ACC),12,10-2,51,50,0,0,15,0,401,33.4
Southern California (Pac-12),6,5-1,25,23,0,0,9,0,200,33.3
Georgia St. (Sun Belt),10,6-4,42,37,1,0,14,0,333,33.3
Eastern Mich. (MAC),6,2-4,24,18,2,0,11,0,199,33.2
Iowa St. (Big 12),12,9-3,51,48,1,0,13,0,395,32.9
Arkansas St. (Sun Belt),11,4-7,47,43,1,0,11,1,362,32.9
Fresno St. (Mountain West),6,3-3,26,21,1,0,6,0,197,32.8
Texas A&M (SEC),10,9-1,42,41,0,0,11,0,326,32.6
Georgia (SEC),10,8-2,40,38,1,0,13,2,323,32.3
LSU (SEC),10,5-5,38,36,1,0,18,0,320,32.0
Iowa (Big Ten),8,6-2,30,26,3,0,14,0,254,31.8
Central Mich. (MAC),6,3-3,23,16,4,0,8,1,188,31.3
Oregon (Pac-12),7,4-3,29,28,1,0,5,0,219,31.3
Virginia Tech (ACC),11,5-6,40,34,4,0,20,0,342,31.1
Memphis (AAC),11,8-3,42,36,4,0,15,0,341,31.0
TCU (Big 12),10,6-4,39,36,1,0,12,0,308,30.8
Nevada (Mountain West),9,7-2,34,28,0,0,15,0,277,30.8
Virginia (ACC),10,5-5,40,35,1,0,10,0,307,30.7
NC State (ACC),12,8-4,47,43,0,0,12,1,363,30.2
Washington (Pac-12),4,3-1,15,13,0,0,6,0,121,30.2
East Carolina (AAC),9,3-6,33,30,1,0,14,0,272,30.2
Utah (Pac-12),5,3-2,18,17,1,0,8,0,151,30.2
Oklahoma St. (Big 12),11,8-3,40,36,0,0,18,1,332,30.2
Houston (AAC),8,3-5,31,28,1,0,8,0,240,30.0
