Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Rice (CUSA),5,2-3,0,6,0.0
Wyoming (Mountain West),6,2-4,0,6,0.0
Colorado (Pac-12),6,4-2,1,10,0.1
Wisconsin (Big Ten),7,4-3,2,11,0.182
Charlotte (CUSA),6,2-4,2,10,0.2
Utah (Pac-12),5,3-2,2,10,0.2
Air Force (Mountain West),6,3-3,3,10,0.3
Indiana (Big Ten),8,6-2,4,13,0.308
Texas (Big 12),10,7-3,5,15,0.333
UCLA (Pac-12),7,3-4,3,9,0.333
Virginia (ACC),10,5-5,5,15,0.333
Ball St. (MAC),8,7-1,7,20,0.35
Fla. Atlantic (CUSA),9,5-4,6,17,0.353
Penn St. (Big Ten),9,4-5,5,14,0.357
Ohio (MAC),3,2-1,4,11,0.364
Clemson (ACC),12,10-2,7,19,0.368
Central Mich. (MAC),6,3-3,3,8,0.375
Cincinnati (AAC),10,9-1,9,24,0.375
South Alabama (Sun Belt),11,4-7,10,26,0.385
BYU (FBS Independent),12,11-1,10,25,0.4
Louisville (ACC),11,4-7,8,20,0.4
Southern California (Pac-12),6,5-1,5,12,0.417
Kent St. (MAC),4,3-1,3,7,0.429
Liberty (FBS Independent),11,10-1,9,21,0.429
Mississippi St. (SEC),11,4-7,9,21,0.429
North Texas (CUSA),10,4-6,6,14,0.429
Coastal Carolina (Sun Belt),12,11-1,12,27,0.444
Notre Dame (ACC),12,10-2,8,18,0.444
Tennessee (SEC),10,3-7,4,9,0.444
Iowa St. (Big 12),12,9-3,9,20,0.45
Florida St. (ACC),9,3-6,6,13,0.462
Purdue (Big Ten),6,2-4,6,13,0.462
Troy (Sun Belt),11,5-6,13,28,0.464
Auburn (SEC),11,6-5,7,15,0.467
Army West Point (FBS Independent),12,9-3,8,17,0.471
East Carolina (AAC),9,3-6,8,17,0.471
Georgia Tech (ACC),10,3-7,11,23,0.478
Arkansas St. (Sun Belt),11,4-7,12,25,0.48
Nevada (Mountain West),9,7-2,12,25,0.48
App State (Sun Belt),12,9-3,13,27,0.481
Tulane (AAC),12,6-6,16,33,0.485
Arizona St. (Pac-12),4,2-2,8,16,0.5
California (Pac-12),4,1-3,3,6,0.5
FIU (CUSA),5,0-5,2,4,0.5
Georgia St. (Sun Belt),10,6-4,13,26,0.5
Iowa (Big Ten),8,6-2,8,16,0.5
LSU (SEC),10,5-5,6,12,0.5
Marshall (CUSA),10,7-3,8,16,0.5
San Jose St. (Mountain West),8,7-1,9,18,0.5
Tulsa (AAC),9,6-3,8,16,0.5
Washington (Pac-12),4,3-1,4,8,0.5
North Carolina (ACC),12,8-4,10,19,0.526
Kansas St. (Big 12),10,4-6,9,17,0.529
UTSA (CUSA),12,7-5,9,17,0.529
NC State (ACC),12,8-4,16,30,0.533
Ohio St. (Big Ten),8,7-1,8,15,0.533
South Carolina (SEC),10,2-8,8,15,0.533
Houston (AAC),8,3-5,7,13,0.538
Toledo (MAC),6,4-2,7,13,0.538
Alabama (SEC),13,13-0,13,24,0.542
Michigan St. (Big Ten),7,2-5,6,11,0.545
New Mexico (Mountain West),7,2-5,6,11,0.545
West Virginia (Big 12),10,6-4,6,11,0.545
Louisiana Tech (CUSA),10,5-5,11,20,0.55
Pittsburgh (ACC),11,6-5,11,20,0.55
UCF (AAC),10,6-4,11,20,0.55
Bowling Green (MAC),5,0-5,5,9,0.556
Fresno St. (Mountain West),6,3-3,5,9,0.556
Louisiana (Sun Belt),11,10-1,15,27,0.556
Miami (FL) (ACC),11,8-3,10,18,0.556
Northwestern (Big Ten),9,7-2,10,18,0.556
Oregon St. (Pac-12),7,2-5,5,9,0.556
Buffalo (MAC),7,6-1,9,16,0.562
Akron (MAC),6,1-5,4,7,0.571
Massachusetts (FBS Independent),4,0-4,4,7,0.571
Texas A&M (SEC),10,9-1,8,14,0.571
Texas Tech (Big 12),10,4-6,12,21,0.571
Western Ky. (CUSA),12,5-7,19,33,0.576
Arkansas (SEC),10,3-7,14,24,0.583
UAB (CUSA),9,6-3,14,24,0.583
SMU (AAC),10,7-3,13,22,0.591
Georgia (SEC),10,8-2,9,15,0.6
Middle Tenn. (CUSA),9,3-6,6,10,0.6
Minnesota (Big Ten),7,3-4,3,5,0.6
Vanderbilt (SEC),9,0-9,6,10,0.6
Wake Forest (ACC),9,4-5,6,10,0.6
Hawaii (Mountain West),9,5-4,8,13,0.615
TCU (Big 12),10,6-4,8,13,0.615
Ga. Southern (Sun Belt),13,8-5,18,29,0.621
Arizona (Pac-12),5,0-5,5,8,0.625
Michigan (Big Ten),6,2-4,5,8,0.625
Oklahoma St. (Big 12),11,8-3,15,24,0.625
Rutgers (Big Ten),9,3-6,10,16,0.625
NIU (MAC),6,0-6,7,11,0.636
UTEP (CUSA),8,3-5,7,11,0.636
Syracuse (ACC),11,1-10,11,17,0.647
Nebraska (Big Ten),8,3-5,13,20,0.65
Florida (SEC),12,8-4,15,23,0.652
Oklahoma (Big 12),11,9-2,15,23,0.652
Oregon (Pac-12),7,4-3,15,23,0.652
Colorado St. (Mountain West),4,1-3,6,9,0.667
Duke (ACC),11,2-9,14,21,0.667
Maryland (Big Ten),5,2-3,8,12,0.667
Memphis (AAC),11,8-3,22,33,0.667
Miami (OH) (MAC),3,2-1,2,3,0.667
Navy (AAC),10,3-7,12,18,0.667
Southern Miss. (CUSA),10,3-7,14,21,0.667
Texas St. (Sun Belt),12,2-10,14,21,0.667
UNLV (Mountain West),6,0-6,4,6,0.667
Boise St. (Mountain West),7,5-2,13,19,0.684
Illinois (Big Ten),8,2-6,13,19,0.684
ULM (Sun Belt),10,0-10,13,19,0.684
Baylor (Big 12),9,2-7,9,13,0.692
Kentucky (SEC),11,5-6,17,24,0.708
Western Mich. (MAC),6,4-2,10,14,0.714
Missouri (SEC),10,5-5,13,18,0.722
Ole Miss (SEC),10,5-5,13,18,0.722
Virginia Tech (ACC),11,5-6,19,26,0.731
