Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Georgia (SEC),10,8-2,302,723,2.39,8,72.3
Texas A&M (SEC),10,9-1,283,920,3.25,6,92.0
Pittsburgh (ACC),11,6-5,388,1029,2.65,11,93.5
Marshall (C-USA),10,7-3,343,955,2.78,6,95.5
Wisconsin (Big Ten),7,4-3,201,673,3.35,2,96.1
Ohio St. (Big Ten),8,7-1,233,781,3.35,10,97.6
San Diego St. (Mountain West),8,4-4,258,786,3.05,5,98.2
Iowa St. (Big 12),12,9-3,383,1237,3.23,11,103.1
Oklahoma (Big 12),11,9-2,335,1156,3.45,18,105.1
Iowa (Big Ten),8,6-2,303,861,2.84,8,107.6
Utah (Pac-12),5,3-2,141,539,3.82,7,107.8
Colorado St. (Mountain West),4,1-3,176,434,2.47,8,108.5
Cincinnati (AAC),10,9-1,355,1111,3.13,10,111.1
Ga. Southern (Sun Belt),13,8-5,422,1458,3.45,14,112.2
Clemson (ACC),12,10-2,438,1352,3.09,9,112.7
Notre Dame (ACC),12,10-2,354,1356,3.83,12,113.0
Alabama (SEC),13,13-0,441,1470,3.33,15,113.1
Army West Point (FBS Independent),12,9-3,365,1375,3.77,5,114.6
BYU (FBS Independent),12,11-1,419,1439,3.43,8,119.9
San Jose St. (Mountain West),8,7-1,297,962,3.24,10,120.2
Wyoming (Mountain West),6,2-4,221,752,3.4,7,125.3
Miami (OH) (MAC),3,2-1,109,378,3.47,5,126.0
Mississippi St. (SEC),11,4-7,391,1390,3.55,11,126.4
TCU (Big 12),10,6-4,351,1275,3.63,9,127.5
Toledo (MAC),6,4-2,210,775,3.69,6,129.2
Penn St. (Big Ten),9,4-5,319,1172,3.67,13,130.2
Central Mich. (MAC),6,3-3,250,783,3.13,7,130.5
West Virginia (Big 12),10,6-4,372,1318,3.54,11,131.8
Liberty (FBS Independent),11,10-1,354,1461,4.13,12,132.8
UCLA (Pac-12),7,3-4,264,950,3.6,14,135.7
Ball St. (MAC),8,7-1,281,1090,3.88,12,136.2
Air Force (Mountain West),6,3-3,217,819,3.77,4,136.5
Georgia St. (Sun Belt),10,6-4,354,1366,3.86,18,136.6
Indiana (Big Ten),8,6-2,272,1097,4.03,7,137.1
UAB (C-USA),9,6-3,312,1241,3.98,5,137.9
Nevada (Mountain West),9,7-2,313,1243,3.97,12,138.1
Virginia (ACC),10,5-5,370,1385,3.74,14,138.5
Texas (Big 12),10,7-3,386,1402,3.63,16,140.2
UTEP (C-USA),8,3-5,274,1123,4.1,14,140.4
Rice (C-USA),5,2-3,171,704,4.12,5,140.8
Tennessee (SEC),10,3-7,385,1416,3.68,15,141.6
Tulane (AAC),12,6-6,505,1720,3.41,16,143.3
Tulsa (AAC),9,6-3,358,1291,3.61,9,143.4
Purdue (Big Ten),6,2-4,253,869,3.43,12,144.8
Memphis (AAC),11,8-3,413,1596,3.86,13,145.1
Northwestern (Big Ten),9,7-2,295,1313,4.45,5,145.9
Coastal Carolina (Sun Belt),12,11-1,404,1772,4.39,17,147.7
App State (Sun Belt),12,9-3,448,1811,4.04,14,150.9
Southern California (Pac-12),6,5-1,217,920,4.24,4,153.3
North Carolina (ACC),12,8-4,434,1851,4.26,25,154.2
Fla. Atlantic (C-USA),9,5-4,335,1391,4.15,6,154.6
Washington St. (Pac-12),4,1-3,124,619,4.99,9,154.8
Arkansas St. (Sun Belt),11,4-7,433,1717,3.97,18,156.1
Kentucky (SEC),11,5-6,408,1717,4.21,18,156.1
Michigan St. (Big Ten),7,2-5,280,1101,3.93,20,157.3
Western Mich. (MAC),6,4-2,229,944,4.12,13,157.3
Buffalo (MAC),7,6-1,281,1102,3.92,10,157.4
Oklahoma St. (Big 12),11,8-3,426,1761,4.13,13,160.1
Washington (Pac-12),4,3-1,142,645,4.54,8,161.2
UTSA (C-USA),12,7-5,457,1945,4.26,16,162.1
Missouri (SEC),10,5-5,358,1622,4.53,19,162.2
Auburn (SEC),11,6-5,430,1797,4.18,16,163.4
Boise St. (Mountain West),7,5-2,285,1146,4.02,13,163.7
New Mexico (Mountain West),7,2-5,241,1149,4.77,9,164.1
Troy (Sun Belt),11,5-6,448,1833,4.09,17,166.6
Houston (AAC),8,3-5,314,1340,4.27,12,167.5
LSU (SEC),10,5-5,346,1690,4.88,18,169.0
California (Pac-12),4,1-3,153,677,4.42,7,169.2
Nebraska (Big Ten),8,3-5,325,1356,4.17,15,169.5
Oregon (Pac-12),7,4-3,284,1187,4.18,16,169.6
Florida (SEC),12,8-4,449,2046,4.56,16,170.5
Western Ky. (C-USA),12,5-7,492,2056,4.18,20,171.3
Boston College (ACC),11,6-5,400,1885,4.71,21,171.4
NIU (MAC),6,0-6,219,1041,4.75,13,173.5
NC State (ACC),12,8-4,488,2087,4.28,18,173.9
Miami (FL) (ACC),11,8-3,422,1919,4.55,16,174.5
South Alabama (Sun Belt),11,4-7,412,1919,4.66,22,174.5
Kansas St. (Big 12),10,4-6,375,1772,4.73,20,177.2
Michigan (Big Ten),6,2-4,258,1073,4.16,14,178.8
Louisville (ACC),11,4-7,415,1979,4.77,19,179.9
SMU (AAC),10,7-3,428,1803,4.21,19,180.3
Baylor (Big 12),9,2-7,366,1624,4.44,20,180.4
Southern Miss. (C-USA),10,3-7,403,1809,4.49,17,180.9
Colorado (Pac-12),6,4-2,200,1087,5.44,9,181.2
Virginia Tech (ACC),11,5-6,406,1996,4.92,24,181.5
Arizona St. (Pac-12),4,2-2,164,733,4.47,7,183.2
Wake Forest (ACC),9,4-5,365,1650,4.52,20,183.3
Louisiana (Sun Belt),11,10-1,471,2032,4.31,20,184.7
Texas Tech (Big 12),10,4-6,423,1864,4.41,24,186.4
