Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Ohio (MAC),3,2-1,28,26,2,56
Miami (OH) (MAC),3,2-1,19,35,8,62
California (Pac-12),4,1-3,34,35,5,74
Colorado St. (Mountain West),4,1-3,27,47,5,79
Washington (Pac-12),4,3-1,36,39,5,80
Rice (CUSA),5,2-3,38,41,3,82
Kent St. (MAC),4,3-1,45,31,11,87
Utah (Pac-12),5,3-2,25,57,9,91
Arizona St. (Pac-12),4,2-2,49,40,4,93
Washington St. (Pac-12),4,1-3,31,57,5,93
Massachusetts (FBS Independent),4,0-4,55,37,8,100
Air Force (Mountain West),6,3-3,52,46,8,106
Wisconsin (Big Ten),7,4-3,28,66,13,107
Wyoming (Mountain West),6,2-4,48,49,10,107
Arizona (Pac-12),5,0-5,55,43,10,108
FIU (CUSA),5,0-5,58,47,10,115
Fresno St. (Mountain West),6,3-3,60,50,7,117
Bowling Green (MAC),5,0-5,74,37,8,119
Western Mich. (MAC),6,4-2,48,60,12,120
Toledo (MAC),6,4-2,38,64,19,121
San Diego St. (Mountain West),8,4-4,51,59,12,122
Akron (MAC),6,1-5,68,49,7,124
Maryland (Big Ten),5,2-3,58,53,15,126
NIU (MAC),6,0-6,53,65,8,126
Southern California (Pac-12),6,5-1,55,58,13,126
Charlotte (CUSA),6,2-4,58,57,12,127
Colorado (Pac-12),6,4-2,45,63,20,128
Central Mich. (MAC),6,3-3,48,68,13,129
Purdue (Big Ten),6,2-4,50,67,14,131
UNLV (Mountain West),6,0-6,74,51,11,136
Buffalo (MAC),7,6-1,65,60,14,139
Stanford (Pac-12),6,4-2,72,58,9,139
Boise St. (Mountain West),7,5-2,59,65,16,140
Iowa (Big Ten),8,6-2,58,78,5,141
Minnesota (Big Ten),7,3-4,69,64,10,143
Michigan (Big Ten),6,2-4,57,73,14,144
New Mexico (Mountain West),7,2-5,57,74,14,145
Michigan St. (Big Ten),7,2-5,53,83,13,149
UTEP (CUSA),8,3-5,59,75,15,149
Temple (AAC),7,1-6,81,60,9,150
UCLA (Pac-12),7,3-4,60,86,8,154
Oregon St. (Pac-12),7,2-5,75,66,14,155
Oregon (Pac-12),7,4-3,58,84,14,156
Penn St. (Big Ten),9,4-5,69,75,12,156
San Jose St. (Mountain West),8,7-1,57,86,13,156
Utah St. (Mountain West),6,1-5,67,78,11,156
Fla. Atlantic (CUSA),9,5-4,78,74,7,159
Eastern Mich. (MAC),6,2-4,88,58,14,160
West Virginia (Big 12),10,6-4,72,65,23,160
Indiana (Big Ten),8,6-2,61,91,9,161
TCU (Big 12),10,6-4,58,89,15,162
UAB (CUSA),9,6-3,63,75,24,162
Army West Point (FBS Independent),12,9-3,65,86,15,166
Houston (AAC),8,3-5,72,79,15,166
Nebraska (Big Ten),8,3-5,69,83,14,166
Ohio St. (Big Ten),8,7-1,44,110,12,166
Marshall (CUSA),10,7-3,65,79,27,171
Northwestern (Big Ten),9,7-2,78,80,13,171
Tulsa (AAC),9,6-3,76,75,23,174
Texas A&M (SEC),10,9-1,56,100,19,175
Baylor (Big 12),9,2-7,80,83,13,176
Nevada (Mountain West),9,7-2,65,100,15,180
Ball St. (MAC),8,7-1,62,105,17,184
Georgia (SEC),10,8-2,57,110,18,185
Liberty (FBS Independent),11,10-1,78,94,19,191
Clemson (ACC),12,10-2,65,105,22,192
Cincinnati (AAC),10,9-1,71,95,28,194
Hawaii (Mountain West),9,5-4,104,81,11,196
Illinois (Big Ten),8,2-6,96,87,13,196
Navy (AAC),10,3-7,105,80,13,198
Louisville (ACC),11,4-7,99,87,14,200
East Carolina (AAC),9,3-6,86,104,13,203
Virginia (ACC),10,5-5,69,124,11,204
Oklahoma (Big 12),11,9-2,64,109,32,205
Pittsburgh (ACC),11,6-5,76,101,29,206
Louisiana Tech (CUSA),10,5-5,97,96,15,208
Middle Tenn. (CUSA),9,3-6,105,92,11,208
Oklahoma St. (Big 12),11,8-3,88,99,21,208
Wake Forest (ACC),9,4-5,100,91,18,209
Kansas (Big 12),9,0-9,112,84,14,210
Notre Dame (ACC),12,10-2,73,118,19,210
South Fla. (AAC),9,1-8,99,97,14,210
Rutgers (Big Ten),9,3-6,92,98,23,213
Florida St. (ACC),9,3-6,91,96,28,215
Southern Miss. (CUSA),10,3-7,102,103,10,215
BYU (FBS Independent),12,11-1,89,115,12,216
Georgia St. (Sun Belt),10,6-4,72,125,20,217
Iowa St. (Big 12),12,9-3,77,129,11,217
LSU (SEC),10,5-5,87,120,12,219
Missouri (SEC),10,5-5,92,108,19,219
ULM (Sun Belt),10,0-10,130,76,13,219
Vanderbilt (SEC),9,0-9,92,117,10,219
Tennessee (SEC),10,3-7,83,124,14,221
App State (Sun Belt),12,9-3,105,95,23,223
Coastal Carolina (Sun Belt),12,11-1,100,109,14,223
Ga. Southern (Sun Belt),13,8-5,88,121,18,227
SMU (AAC),10,7-3,98,115,15,228
Kansas St. (Big 12),10,4-6,89,121,19,229
South Alabama (Sun Belt),11,4-7,90,130,11,231
Western Ky. (CUSA),12,5-7,120,95,17,232
Texas Tech (Big 12),10,4-6,102,108,23,233
Louisiana (Sun Belt),11,10-1,119,89,26,234
South Carolina (SEC),10,2-8,113,106,15,234
Mississippi St. (SEC),11,4-7,90,125,20,235
Texas (Big 12),10,7-3,79,131,27,237
Georgia Tech (ACC),10,3-7,101,117,23,241
Troy (Sun Belt),11,5-6,101,120,21,242
UTSA (CUSA),12,7-5,111,101,30,242
Kentucky (SEC),11,5-6,99,121,23,243
Boston College (ACC),11,6-5,102,115,29,246
Duke (ACC),11,2-9,121,111,15,247
Memphis (AAC),11,8-3,93,143,14,250
Auburn (SEC),11,6-5,105,128,19,252
North Texas (CUSA),10,4-6,120,110,22,252
Arkansas (SEC),10,3-7,103,134,18,255
Tulane (AAC),12,6-6,110,124,21,255
Virginia Tech (ACC),11,5-6,105,139,12,256
North Carolina (ACC),12,8-4,103,123,31,257
Miami (FL) (ACC),11,8-3,103,124,31,258
Alabama (SEC),13,13-0,89,143,27,259
Arkansas St. (Sun Belt),11,4-7,88,153,19,260
Florida (SEC),12,8-4,118,138,18,274
Ole Miss (SEC),10,5-5,108,150,16,274
UCF (AAC),10,6-4,112,144,20,276
Syracuse (ACC),11,1-10,124,130,28,282
NC State (ACC),12,8-4,115,132,36,283
Texas St. (Sun Belt),12,2-10,143,147,24,314
