Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Marshall (C-USA),10,7-3,281,171,10,2129,7.58,12.45,19,212.9
Oregon St. (Pac-12),7,2-5,233,134,5,1479,6.35,11.04,11,211.3
Rice (C-USA),5,2-3,133,82,2,1054,7.92,12.85,11,210.8
UTEP (C-USA),8,3-5,239,126,9,1674,7.0,13.29,7,209.2
Louisiana (Sun Belt),11,10-1,310,180,7,2294,7.4,12.74,20,208.5
Temple (AAC),7,1-6,240,146,11,1456,6.07,9.97,11,208.0
Tennessee (SEC),10,3-7,285,179,9,2047,7.18,11.44,14,204.7
Central Mich. (MAC),6,3-3,173,106,4,1214,7.02,11.45,7,202.3
Colorado (Pac-12),6,4-2,178,98,7,1209,6.79,12.34,6,201.5
UAB (C-USA),9,6-3,244,136,9,1812,7.43,13.32,14,201.3
Virginia Tech (ACC),11,5-6,254,158,6,2207,8.69,13.97,13,200.6
UTSA (C-USA),12,7-5,370,222,8,2399,6.48,10.81,16,199.9
Colorado St. (Mountain West),4,1-3,116,59,3,798,6.88,13.53,4,199.5
Minnesota (Big Ten),7,3-4,184,107,5,1394,7.58,13.03,7,199.1
Georgia Tech (ACC),10,3-7,283,152,13,1991,7.04,13.1,14,199.1
Rutgers (Big Ten),9,3-6,316,198,9,1789,5.66,9.04,14,198.8
New Mexico (Mountain West),7,2-5,215,122,6,1386,6.45,11.36,8,198.0
Northwestern (Big Ten),9,7-2,284,174,8,1781,6.27,10.24,12,197.9
Iowa (Big Ten),8,6-2,248,141,5,1581,6.38,11.21,9,197.6
Florida St. (ACC),9,3-6,292,159,13,1771,6.07,11.14,10,196.8
TCU (Big 12),10,6-4,273,164,5,1963,7.19,11.97,11,196.3
Arizona St. (Pac-12),4,2-2,87,51,1,777,8.93,15.24,5,194.2
California (Pac-12),4,1-3,138,85,3,771,5.59,9.07,6,192.8
Buffalo (MAC),7,6-1,157,98,4,1337,8.52,13.64,7,191.0
Nebraska (Big Ten),8,3-5,229,156,9,1521,6.64,9.75,5,190.1
South Carolina (SEC),10,2-8,295,175,9,1872,6.35,10.7,8,187.2
App State (Sun Belt),12,9-3,300,190,11,2245,7.48,11.82,21,187.1
UNLV (Mountain West),6,0-6,196,115,4,1115,5.69,9.7,6,185.8
Kansas St. (Big 12),10,4-6,247,137,10,1857,7.52,13.55,12,185.7
Wisconsin (Big Ten),7,4-3,202,124,7,1267,6.27,10.22,10,181.0
Tulane (AAC),12,6-6,313,165,10,2120,6.77,12.85,21,176.7
Syracuse (ACC),11,1-10,336,173,12,1906,5.67,11.02,15,173.3
Western Ky. (C-USA),12,5-7,369,208,4,1972,5.34,9.48,12,164.3
Kansas (Big 12),9,0-9,283,155,10,1389,4.91,8.96,7,154.3
Wyoming (Mountain West),6,2-4,134,62,5,920,6.87,14.84,1,153.3
Illinois (Big Ten),8,2-6,194,91,4,1223,6.3,13.44,10,152.9
San Diego St. (Mountain West),8,4-4,203,115,5,1211,5.97,10.53,6,151.4
Ohio (MAC),3,2-1,54,36,0,438,8.11,12.17,4,146.0
Fla. Atlantic (C-USA),9,5-4,232,122,6,1300,5.6,10.66,8,144.4
Bowling Green (MAC),5,0-5,125,54,7,712,5.7,13.19,1,142.4
Akron (MAC),6,1-5,148,83,6,838,5.66,10.1,4,139.7
Utah St. (Mountain West),6,1-5,170,89,5,815,4.79,9.16,6,135.8
FIU (C-USA),5,0-5,130,58,2,617,4.75,10.64,5,123.4
Kentucky (SEC),11,5-6,243,145,5,1336,5.5,9.21,7,121.5
Massachusetts (FBS Independent),4,0-4,100,54,5,481,4.81,8.91,1,120.2
Ga. Southern (Sun Belt),13,8-5,176,97,11,1354,7.69,13.96,9,104.2
Navy (AAC),10,3-7,124,57,4,974,7.85,17.09,6,97.4
Air Force (Mountain West),6,3-3,61,34,3,502,8.23,14.76,3,83.7
Army West Point (FBS Independent),12,9-3,76,35,6,537,7.07,15.34,4,44.8
