Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
West Virginia (Big 12),10,6-4,157,254,1596,12,6.28,10.17,159.6
Army West Point (FBS Independent),12,9-3,173,296,1929,16,6.52,11.15,160.8
Kent St. (MAC),4,3-1,47,91,648,2,7.12,13.79,162.0
Bowling Green (MAC),5,0-5,72,111,828,12,7.46,11.5,165.6
Air Force (Mountain West),6,3-3,88,143,1001,7,7.0,11.38,166.8
Louisiana (Sun Belt),11,10-1,168,324,1877,10,5.79,11.17,170.6
UAB (C-USA),9,6-3,150,285,1559,15,5.47,10.39,173.2
Western Ky. (C-USA),12,5-7,175,335,2128,16,6.35,12.16,177.3
App State (Sun Belt),12,9-3,168,350,2135,13,6.1,12.71,177.9
Navy (AAC),10,3-7,140,230,1808,11,7.86,12.91,180.8
Marshall (C-USA),10,7-3,182,292,1839,8,6.3,10.1,183.9
Liberty (FBS Independent),11,10-1,180,313,2034,17,6.5,11.3,184.9
Washington (Pac-12),4,3-1,74,117,740,5,6.32,10.0,185.0
San Diego St. (Mountain West),8,4-4,157,262,1482,11,5.66,9.44,185.2
FIU (C-USA),5,0-5,89,140,936,6,6.69,10.52,187.2
Fla. Atlantic (C-USA),9,5-4,146,266,1689,9,6.35,11.57,187.7
Louisville (ACC),11,4-7,155,289,2081,15,7.2,13.43,189.2
Tulsa (AAC),9,6-3,170,280,1706,10,6.09,10.04,189.6
Northwestern (Big Ten),9,7-2,175,337,1758,8,5.22,10.05,195.3
Ohio (MAC),3,2-1,50,92,586,3,6.37,11.72,195.3
Hawaii (Mountain West),9,5-4,145,264,1774,12,6.72,12.23,197.1
BYU (FBS Independent),12,11-1,229,374,2370,15,6.34,10.35,197.5
California (Pac-12),4,1-3,65,105,791,7,7.53,12.17,197.8
Penn St. (Big Ten),9,4-5,157,266,1787,15,6.72,11.38,198.6
Maryland (Big Ten),5,2-3,93,165,1000,6,6.06,10.75,200.0
Rice (C-USA),5,2-3,77,129,1004,5,7.78,13.04,200.8
Buffalo (MAC),7,6-1,111,202,1411,8,6.99,12.71,201.6
Arizona (Pac-12),5,0-5,80,122,1012,6,8.3,12.65,202.4
Wyoming (Mountain West),6,2-4,113,178,1216,8,6.83,10.76,202.7
Baylor (Big 12),9,2-7,165,259,1827,12,7.05,11.07,203.0
Wisconsin (Big Ten),7,4-3,110,218,1426,12,6.54,12.96,203.7
Coastal Carolina (Sun Belt),12,11-1,222,366,2451,11,6.7,11.04,204.2
Charlotte (C-USA),6,2-4,95,165,1233,10,7.47,12.98,205.5
Iowa (Big Ten),8,6-2,159,275,1649,9,6.0,10.37,206.1
Massachusetts (FBS Independent),4,0-4,65,110,834,10,7.58,12.83,208.5
Minnesota (Big Ten),7,3-4,123,192,1461,11,7.61,11.88,208.7
Boise St. (Mountain West),7,5-2,112,212,1467,10,6.92,13.1,209.6
Akron (MAC),6,1-5,85,127,1270,12,10.0,14.94,211.7
Cincinnati (AAC),10,9-1,189,355,2135,7,6.01,11.3,213.5
Ga. Southern (Sun Belt),13,8-5,234,406,2776,16,6.84,11.86,213.5
Clemson (ACC),12,10-2,190,343,2570,17,7.49,13.53,214.2
ULM (Sun Belt),10,0-10,126,217,2153,20,9.92,17.09,215.3
Southern California (Pac-12),6,5-1,121,187,1298,14,6.94,10.73,216.3
Stanford (Pac-12),6,4-2,100,156,1300,12,8.33,13.0,216.7
Nebraska (Big Ten),8,3-5,152,241,1736,10,7.2,11.42,217.0
Fresno St. (Mountain West),6,3-3,98,176,1306,8,7.42,13.33,217.7
Oklahoma St. (Big 12),11,8-3,207,358,2408,18,6.73,11.63,218.9
Southern Miss. (C-USA),10,3-7,185,294,2208,24,7.51,11.94,220.8
UTSA (C-USA),12,7-5,219,361,2655,22,7.35,12.12,221.2
Kansas (Big 12),9,0-9,159,257,2007,20,7.81,12.62,223.0
TCU (Big 12),10,6-4,167,308,2234,18,7.25,13.38,223.4
Middle Tenn. (C-USA),9,3-6,167,281,2017,19,7.18,12.08,224.1
Temple (AAC),7,1-6,96,170,1571,18,9.24,16.36,224.4
Kentucky (SEC),11,5-6,235,356,2471,18,6.94,10.51,224.6
Oregon St. (Pac-12),7,2-5,128,203,1573,10,7.75,12.29,224.7
Texas A&M (SEC),10,9-1,196,310,2253,19,7.27,11.49,225.3
San Jose St. (Mountain West),8,7-1,162,262,1807,8,6.9,11.15,225.9
UNLV (Mountain West),6,0-6,99,163,1363,6,8.36,13.77,227.2
Louisiana Tech (C-USA),10,5-5,187,292,2290,18,7.84,12.25,229.0
South Fla. (AAC),9,1-8,164,270,2062,21,7.64,12.57,229.1
Notre Dame (ACC),12,10-2,225,388,2767,14,7.13,12.3,230.6
Houston (AAC),8,3-5,140,238,1848,16,7.76,13.2,231.0
Duke (ACC),11,2-9,184,321,2548,22,7.94,13.85,231.6
Toledo (MAC),6,4-2,110,196,1398,12,7.13,12.71,233.0
Miami (FL) (ACC),11,8-3,241,381,2573,20,6.75,10.68,233.9
Oregon (Pac-12),7,4-3,151,247,1654,8,6.7,10.95,236.3
Illinois (Big Ten),8,2-6,149,214,1897,18,8.86,12.73,237.1
Iowa St. (Big 12),12,9-3,237,378,2848,14,7.53,12.02,237.3
Troy (Sun Belt),11,5-6,240,358,2623,16,7.33,10.93,238.5
Alabama (SEC),13,13-0,272,468,3109,15,6.64,11.43,239.2
Colorado (Pac-12),6,4-2,120,216,1435,12,6.64,11.96,239.2
Michigan St. (Big Ten),7,2-5,151,247,1676,8,6.79,11.1,239.4
Nevada (Mountain West),9,7-2,192,317,2156,13,6.8,11.23,239.6
UTEP (C-USA),8,3-5,143,225,1927,19,8.56,13.48,240.9
Indiana (Big Ten),8,6-2,163,276,1928,13,6.99,11.83,241.0
NC State (ACC),12,8-4,247,421,2893,20,6.87,11.71,241.1
SMU (AAC),10,7-3,186,320,2419,22,7.56,13.01,241.9
Western Mich. (MAC),6,4-2,127,199,1454,12,7.31,11.45,242.3
Auburn (SEC),11,6-5,235,364,2669,20,7.33,11.36,242.6
NIU (MAC),6,0-6,104,160,1472,11,9.2,14.15,245.3
Rutgers (Big Ten),9,3-6,189,281,2209,21,7.86,11.69,245.4
Boston College (ACC),11,6-5,216,350,2700,18,7.71,12.5,245.5
Oklahoma (Big 12),11,9-2,226,408,2701,12,6.62,11.95,245.5
Missouri (SEC),10,5-5,182,311,2458,21,7.9,13.51,245.8
East Carolina (AAC),9,3-6,194,297,2214,17,7.45,11.41,246.0
Pittsburgh (ACC),11,6-5,211,377,2706,23,7.18,12.82,246.0
North Carolina (ACC),12,8-4,230,395,2960,17,7.49,12.87,246.7
Georgia (SEC),10,8-2,236,359,2487,15,6.93,10.54,248.7
Colorado St. (Mountain West),4,1-3,74,122,1001,5,8.2,13.53,250.2
Eastern Mich. (MAC),6,2-4,124,186,1509,14,8.11,12.17,251.5
Wake Forest (ACC),9,4-5,189,298,2271,17,7.62,12.02,252.3
Arizona St. (Pac-12),4,2-2,100,158,1010,6,6.39,10.1,252.5
North Texas (C-USA),10,4-6,195,311,2529,25,8.13,12.97,252.9
Purdue (Big Ten),6,2-4,126,192,1525,9,7.94,12.1,254.2
Syracuse (ACC),11,1-10,244,373,2803,19,7.51,11.49,254.8
Michigan (Big Ten),6,2-4,123,208,1533,12,7.37,12.46,255.5
South Carolina (SEC),10,2-8,193,290,2561,21,8.83,13.27,256.1
Florida St. (ACC),9,3-6,189,285,2314,16,8.12,12.24,257.1
Utah (Pac-12),5,3-2,110,191,1286,8,6.73,11.69,257.2
Florida (SEC),12,8-4,255,398,3090,28,7.76,12.12,257.5
Texas Tech (Big 12),10,4-6,225,354,2585,17,7.3,11.49,258.5
Arkansas (SEC),10,3-7,254,383,2596,18,6.78,10.22,259.6
Utah St. (Mountain West),6,1-5,130,192,1564,14,8.15,12.03,260.7
South Alabama (Sun Belt),11,4-7,220,333,2881,15,8.65,13.1,261.9
Mississippi St. (SEC),11,4-7,240,389,2897,23,7.45,12.07,263.4
Tennessee (SEC),10,3-7,214,314,2658,15,8.46,12.42,265.8
Virginia Tech (ACC),11,5-6,240,389,2926,19,7.52,12.19,266.0
Texas (Big 12),10,7-3,246,393,2664,17,6.78,10.83,266.4
Kansas St. (Big 12),10,4-6,239,353,2675,20,7.58,11.19,267.5
Miami (OH) (MAC),3,2-1,52,86,803,6,9.34,15.44,267.7
Georgia Tech (ACC),10,3-7,209,356,2701,22,7.59,12.92,270.1
Texas St. (Sun Belt),12,2-10,278,413,3245,26,7.86,11.67,270.4
Georgia St. (Sun Belt),10,6-4,236,377,2737,21,7.26,11.6,273.7
UCLA (Pac-12),7,3-4,161,263,1919,13,7.3,11.92,274.1
Tulane (AAC),12,6-6,239,395,3344,27,8.47,13.99,278.7
New Mexico (Mountain West),7,2-5,143,219,1981,18,9.05,13.85,283.0
Memphis (AAC),11,8-3,269,428,3181,24,7.43,11.83,289.2
Ball St. (MAC),8,7-1,194,298,2349,14,7.88,12.11,293.6
Vanderbilt (SEC),9,0-9,221,301,2668,24,8.86,12.07,296.4
Central Mich. (MAC),6,3-3,109,189,1783,15,9.43,16.36,297.2
UCF (AAC),10,6-4,209,350,2992,26,8.55,14.32,299.2
Ohio St. (Big Ten),8,7-1,209,316,2432,16,7.7,11.64,304.0
Virginia (ACC),10,5-5,203,323,3044,19,9.42,15.0,304.4
Washington St. (Pac-12),4,1-3,103,152,1228,11,8.08,11.92,307.0
Ole Miss (SEC),10,5-5,263,387,3121,19,8.06,11.87,312.1
Arkansas St. (Sun Belt),11,4-7,249,388,3454,33,8.9,13.87,314.0
LSU (SEC),10,5-5,198,332,3230,24,9.73,16.31,323.0
