Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Colorado St. (Mountain West),4,1-3,30,24,195,42,10.5
Pittsburgh (ACC),11,6-5,85,52,452,111,10.1
Clemson (ACC),12,10-2,85,48,459,109,9.1
Miami (FL) (ACC),11,8-3,72,46,398,95,8.6
Western Mich. (MAC),6,4-2,35,32,173,51,8.5
Tulane (AAC),12,6-6,84,34,405,101,8.4
Colorado (Pac-12),6,4-2,38,22,146,49,8.2
San Diego St. (Mountain West),8,4-4,46,38,278,65,8.1
Oklahoma St. (Big 12),11,8-3,74,30,321,89,8.1
TCU (Big 12),10,6-4,70,20,321,80,8.0
Rutgers (Big Ten),9,3-6,54,32,219,70,7.8
Tulsa (AAC),9,6-3,58,22,240,69,7.7
Wyoming (Mountain West),6,2-4,34,24,194,46,7.7
SMU (AAC),10,7-3,68,16,268,76,7.6
NC State (ACC),12,8-4,69,44,323,91,7.6
Oklahoma (Big 12),11,9-2,60,46,356,83,7.5
Notre Dame (ACC),12,10-2,77,26,344,90,7.5
Georgia St. (Sun Belt),10,6-4,59,32,288,75,7.5
Fresno St. (Mountain West),6,3-3,37,16,175,45,7.5
Massachusetts (FBS Independent),4,0-4,22,16,118,30,7.5
Houston (AAC),8,3-5,48,22,224,59,7.4
Central Mich. (MAC),6,3-3,34,20,187,44,7.3
Texas (Big 12),10,7-3,50,46,255,73,7.3
Boise St. (Mountain West),7,5-2,43,16,168,51,7.3
Cincinnati (AAC),10,9-1,55,34,297,72,7.2
Virginia (ACC),10,5-5,53,38,332,72,7.2
FIU (C-USA),5,0-5,24,24,129,36,7.2
UCF (AAC),10,6-4,60,22,293,71,7.1
UTSA (C-USA),12,7-5,66,38,329,85,7.1
Wake Forest (ACC),9,4-5,46,34,215,63,7.0
Ball St. (MAC),8,7-1,42,28,214,56,7.0
Arkansas St. (Sun Belt),11,4-7,60,32,296,76,6.9
Virginia Tech (ACC),11,5-6,58,36,328,76,6.9
UCLA (Pac-12),7,3-4,40,16,198,48,6.9
Iowa St. (Big 12),12,9-3,65,34,304,82,6.8
Kansas St. (Big 12),10,4-6,58,20,240,68,6.8
Bowling Green (MAC),5,0-5,22,24,117,34,6.8
San Jose St. (Mountain West),8,7-1,46,16,266,54,6.8
Hawaii (Mountain West),9,5-4,51,19,203,60,6.7
Penn St. (Big Ten),9,4-5,45,30,233,60,6.7
UAB (C-USA),9,6-3,50,20,225,60,6.7
Southern California (Pac-12),6,5-1,30,20,179,40,6.7
Duke (ACC),11,2-9,55,36,294,73,6.6
Nebraska (Big Ten),8,3-5,42,22,179,53,6.6
Maryland (Big Ten),5,2-3,25,16,138,33,6.6
Utah (Pac-12),5,3-2,30,6,135,33,6.6
Baylor (Big 12),9,2-7,45,28,191,59,6.6
