Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Eastern Mich. (MAC),6,2-4,28,11,9,8,28,1.0
NIU (MAC),6,0-6,18,6,9,2,17,0.944
Missouri (SEC),10,5-5,34,17,3,12,32,0.941
Kansas St. (Big 12),10,4-6,33,13,8,10,31,0.939
Washington St. (Pac-12),4,1-3,16,7,4,4,15,0.938
Georgia St. (Sun Belt),10,6-4,43,19,9,12,40,0.93
Wake Forest (ACC),9,4-5,43,21,10,9,40,0.93
Alabama (SEC),13,13-0,68,32,21,10,63,0.926
SMU (AAC),10,7-3,50,19,13,14,46,0.92
Iowa (Big Ten),8,6-2,36,17,7,9,33,0.917
Michigan St. (Big Ten),7,2-5,12,2,5,4,11,0.917
UAB (C-USA),9,6-3,36,13,11,9,33,0.917
Oklahoma (Big 12),11,9-2,59,25,15,14,54,0.915
Colorado (Pac-12),6,4-2,23,15,2,4,21,0.913
Arkansas (SEC),10,3-7,33,10,13,7,30,0.909
Boise St. (Mountain West),7,5-2,22,13,5,2,20,0.909
Miami (FL) (ACC),11,8-3,43,14,12,13,39,0.907
Florida (SEC),12,8-4,62,12,30,14,56,0.903
BYU (FBS Independent),12,11-1,61,28,20,7,55,0.902
Army West Point (FBS Independent),12,9-3,39,28,1,6,35,0.897
Pittsburgh (ACC),11,6-5,47,19,8,15,42,0.894
UTSA (C-USA),12,7-5,47,20,10,12,42,0.894
North Carolina (ACC),12,8-4,56,28,13,9,50,0.893
Oregon St. (Pac-12),7,2-5,28,13,8,4,25,0.893
UCF (AAC),10,6-4,55,19,18,12,49,0.891
Rutgers (Big Ten),9,3-6,27,9,8,7,24,0.889
Stanford (Pac-12),6,4-2,27,15,6,3,24,0.889
UCLA (Pac-12),7,3-4,27,11,8,5,24,0.889
Washington (Pac-12),4,3-1,18,8,2,6,16,0.889
Wisconsin (Big Ten),7,4-3,27,11,8,5,24,0.889
Louisville (ACC),11,4-7,44,17,12,10,39,0.886
Houston (AAC),8,3-5,26,11,7,5,23,0.885
Wyoming (Mountain West),6,2-4,26,12,0,11,23,0.885
Coastal Carolina (Sun Belt),12,11-1,60,26,19,8,53,0.883
West Virginia (Big 12),10,6-4,41,14,11,11,36,0.878
Texas A&M (SEC),10,9-1,47,17,14,10,41,0.872
