Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
93,Stanford (Pac-12),12,3-9,824,4339,5.27,29,361.6
94,Texas A&M (SEC),12,5-7,757,4331,5.72,30,360.9
95,Eastern Mich. (MAC),12,8-4,824,4323,5.25,43,360.2
96,San Jose St. (Mountain West),11,7-4,703,3921,5.58,38,356.5
97,Michigan St. (Big Ten),12,5-7,773,4236,5.48,39,353.0
98,UNLV (Mountain West),12,5-7,763,4225,5.54,33,352.1
99,Temple (AAC),12,3-9,802,4206,5.24,29,350.5
100,Vanderbilt (SEC),12,5-7,791,4167,5.27,35,347.2
101,Nebraska (Big Ten),12,4-8,761,4130,5.43,34,344.2
102,Virginia (ACC),10,3-7,670,3441,5.14,20,344.1
103,NC State (ACC),12,8-4,847,4122,4.87,31,343.5
104,Hawaii (Mountain West),13,3-10,896,4456,4.97,29,342.8
105,Old Dominion (Sun Belt),12,3-9,732,4073,5.56,27,339.4
106,Bowling Green (MAC),12,6-6,807,4036,5.0,32,336.3
106,Kentucky (SEC),12,7-5,744,4036,5.42,30,336.3
108,Northwestern (Big Ten),12,1-11,886,4025,4.54,21,335.4
109,Southern Miss. (Sun Belt),12,6-6,768,3990,5.2,30,332.5
110,Indiana (Big Ten),12,4-8,879,3939,4.48,31,328.2
111,Navy (AAC),12,4-8,834,3922,4.7,31,326.8
112,ULM (Sun Belt),12,4-8,750,3912,5.22,32,326.0
113,Texas St. (Sun Belt),12,4-8,827,3902,4.72,28,325.2
114,Georgia Tech (ACC),12,5-7,807,3898,4.83,23,324.8
115,New Mexico St. (FBS Independent),12,6-6,688,3891,5.66,40,324.2
116,FIU (C-USA),12,4-8,824,3885,4.71,27,323.8
117,San Diego St. (Mountain West),12,7-5,739,3860,5.22,24,321.7
118,Wyoming (Mountain West),12,7-5,720,3786,5.26,24,315.5
119,Arkansas St. (Sun Belt),12,3-9,777,3777,4.86,32,314.8
120,Virginia Tech (ACC),11,3-8,734,3448,4.7,24,313.5
121,Boston College (ACC),12,3-9,803,3723,4.64,27,310.2
122,Miami (OH) (MAC),12,6-6,756,3701,4.9,26,308.4
123,Nevada (Mountain West),12,2-10,825,3656,4.43,26,304.7
124,UConn (FBS Independent),12,6-6,733,3626,4.95,28,302.2
125,Western Mich. (MAC),12,5-7,800,3623,4.53,24,301.9
126,Colorado St. (Mountain West),12,3-9,707,3429,4.85,16,285.8
127,Rutgers (Big Ten),12,4-8,763,3385,4.44,22,282.1
128,Colorado (Pac-12),12,1-11,747,3375,4.52,21,281.2
129,Massachusetts (FBS Independent),12,1-11,797,3189,4.0,14,265.8
130,Iowa (Big Ten),12,7-5,724,3065,4.23,18,255.4
131,New Mexico (Mountain West),12,2-10,694,2737,3.94,15,228.1
