year,team0,team1,winning_team
13,Tulane,Louisiana,1
21,Michigan,Georgia,1
20,Texas A&M,North Carolina,0
19,Florida,Virginia,0
18,Oklahoma,Alabama,1
17,Wisconsin,Miami,0
16,Michigan,Florida State,1
15,Clemson,Oklahoma,0
14,Georgia Tech,Mississippi State,0
13,Ohio State,Clemson,1
21,Penn State,Arkansas,1
20,Ole Miss,Indiana,0
19,Minnesota,Auburn,0
18,Mississippi State,Iowa,1
17,South Carolina,Michigan,0
16,Florida,Iowa,0
15,Tennessee,Northwestern,0
14,Wisconsin,Auburn,0
13,Iowa,Louisiana State,1
21,Michigan State,Pittsburgh,0
20,Cincinnati,Georgia,1
19,Louisiana State,Oklahoma,0
18,Michigan,Florida,1
17,Auburn,Central Florida,1
16,Washington,Alabama,1
15,Houston,Florida State,0
14,Ole Miss,Texas Christian,1
13,Duke,Texas A&M,1
21,Maryland,Virginia Tech,0
19,Michigan State,Wake Forest,0
18,Wisconsin,Miami,0
17,Boston College,Iowa,1
16,Pittsburgh,Northwestern,1
15,Duke,Indiana,0
14,Penn State,Boston College,0
13,Notre Dame,Rutgers,0
21,Western Michigan,Nevada,0
19,Pittsburgh,Eastern Michigan,0
18,Minnesota,Georgia Tech,0
17,Northern Illinois,Duke,1
16,Boston College,Maryland,0
15,Minnesota,Central Michigan,0
14,North Carolina,Rutgers,1
21,Utah,Ohio State,1
20,Alabama,Notre Dame,0
19,Wisconsin,Oregon,1
18,Washington,Ohio State,1
17,Oklahoma,Georgia,1
16,Southern California,Penn State,0
15,Iowa,Stanford,1
14,Oregon,Florida State,0
13,Stanford,Michigan State,1
21,Iowa State,Clemson,1
20,Miami,Oklahoma State,1
19,Iowa State,Notre Dame,1
18,West Virginia,Syracuse,1
17,Oklahoma State,Virginia Tech,0
16,West Virginia,Miami,1
15,North Carolina,Baylor,1
14,Oklahoma,Clemson,1
13,Louisville,Miami,0
21,Ole Miss,Baylor,1
20,Ohio State,Clemson,0
19,Baylor,Georgia,1
18,Texas,Georgia,0
17,Alabama,Clemson,0
16,Auburn,Oklahoma,1
15,Ole Miss,Oklahoma State,0
14,Ohio State,Alabama,0
13,Oklahoma,Alabama,0
21,Washington State,Central Michigan,1
19,Florida State,Arizona State,1
18,Stanford,Pittsburgh,0
17,Arizona State,North Carolina State,1
16,Stanford,North Carolina,0
15,Miami,Washington State,1
14,Arizona State,Duke,0
13,Virginia Tech,UCLA,1
20,Ball State,San Jose State,0
19,Georgia State,Wyoming,1
18,Nevada,Arkansas State,0
13,Auburn,Florida State,1
19,Kentucky,Virginia Tech,0
18,South Carolina,Virginia,1
17,Texas A&M,Wake Forest,1
16,Virginia Tech,Arkansas,0
15,Mississippi State,North Carolina State,0
14,Georgia,Louisville,0
13,Cincinnati,North Carolina,1
20,Memphis,Florida Atlantic,0
19,California,Illinois,0
18,Oregon,Michigan State,0
17,Purdue,Arizona,0
16,Utah,Indiana,0
15,UCLA,Nebraska,1
14,Stanford,Maryland,0
13,Brigham Young,Washington,1
19,Brigham Young,Hawaii,1
18,Louisiana Tech,Hawaii,0
17,Houston,Fresno State,1
19,Iowa,Southern California,0
18,Northwestern,Utah,0
17,Washington State,Michigan State,1
16,Washington State,Minnesota,1
15,Wisconsin,Southern California,0
14,Nebraska,Southern California,1
13,Arizona State,Texas Tech,1
13,Bowling Green,Pittsburgh,1
16,Central Michigan,Tulsa,1
15,South Florida,Western Kentucky,1
14,Memphis,Brigham Young,0
19,North Carolina,Temple,0
18,Cincinnati,Virginia Tech,0
17,Navy,Virginia,0
16,Wake Forest,Temple,0
15,Pittsburgh,Navy,1
14,Virginia Tech,Cincinnati,0
13,Maryland,Marshall,1
13,Northern Illinois,Utah State,1
